nm    	Abs   
300.00 	0.751 
299.00 	0.723 
298.00 	0.697 
297.00 	0.673 
296.00 	0.651 
295.00 	0.630 
294.00 	0.613 
293.00 	0.597 
292.00 	0.582 
291.00 	0.568 
290.00 	0.557 
289.00 	0.548 
288.00 	0.540 
287.00 	0.535 
286.00 	0.532 
285.00 	0.531 
284.00 	0.531 
283.00 	0.533 
282.00 	0.537 
281.00 	0.542 
280.00 	0.550 
279.00 	0.559 
278.00 	0.570 
277.00 	0.581 
276.00 	0.594 
275.00 	0.607 
274.00 	0.623 
273.00 	0.641 
272.00 	0.662 
271.00 	0.686 
270.00 	0.711 
269.00 	0.738 
268.00 	0.768 
267.00 	0.800 
266.00 	0.837 
265.00 	0.877 
264.00 	0.925 
263.00 	0.976 
262.00 	1.034 
261.00 	1.095 
260.00 	1.154 
259.00 	1.209 
258.00 	1.254 
257.00 	1.282 
256.00 	1.302 
255.00 	1.312 
254.00 	1.317 
253.00 	1.315 
252.00 	1.315 
251.00 	1.312 
250.00 	1.307 
249.00 	1.303 
248.00 	1.301 
247.00 	1.294 
246.00 	1.288 
245.00 	1.282 
244.00 	1.274 
243.00 	1.268 
242.00 	1.261 
241.00 	1.253 
240.00 	1.243 
239.00 	1.236 
238.00 	1.225 
237.00 	1.218 
236.00 	1.210 
235.00 	1.203 
234.00 	1.192 
233.00 	1.183 
232.00 	1.174 
231.00 	1.161 
230.00 	1.155 
229.00 	1.146 
228.00 	1.134 
227.00 	1.123 
226.00 	1.112 
225.00 	1.101 
224.00 	1.090 
223.00 	1.080 
222.00 	1.068 
221.00 	1.056 
220.00 	1.044 
219.00 	1.030 
218.00 	1.016 
217.00 	1.001 
216.00 	0.982 
215.00 	0.963 
214.00 	0.937 
213.00 	0.910 
212.00 	0.874 
211.00 	0.833 
210.00 	0.785 
209.00 	0.725 
208.00 	0.651 
207.00 	0.555 
206.00 	0.441 
205.00 	0.306 
204.00 	0.139 
203.00 	-0.068 
202.00 	-0.317 
201.00 	-0.596 
200.00 	-0.855 
199.00 	-1.037 
198.00 	-1.147 
197.00 	-1.107 
196.00 	-1.028 
195.00 	-0.914 
194.00 	-0.804 
193.00 	-0.672 
192.00 	-0.504 
191.00 	-0.337 
190.00 	-0.148 
