nm    	Abs  
300.00 	0.809 
299.00 	0.772 
298.00 	0.738 
297.00 	0.706 
296.00 	0.677 
295.00 	0.652 
294.00 	0.630 
293.00 	0.609 
292.00 	0.591 
291.00 	0.574 
290.00 	0.560 
289.00 	0.549 
288.00 	0.540 
287.00 	0.535 
286.00 	0.532 
285.00 	0.531 
284.00 	0.532 
283.00 	0.535 
282.00 	0.540 
281.00 	0.547 
280.00 	0.558 
279.00 	0.570 
278.00 	0.585 
277.00 	0.600 
276.00 	0.618 
275.00 	0.636 
274.00 	0.655 
273.00 	0.678 
272.00 	0.704 
271.00 	0.734 
270.00 	0.767 
269.00 	0.802 
268.00 	0.842 
267.00 	0.887 
266.00 	0.939 
265.00 	1.000 
264.00 	1.074 
263.00 	1.163 
262.00 	1.276 
261.00 	1.410 
260.00 	1.568 
259.00 	1.750 
258.00 	1.952 
257.00 	2.171 
256.00 	2.373 
255.00 	2.550 
254.00 	2.678 
253.00 	2.823 
252.00 	2.869 
251.00 	2.911 
250.00 	2.973 
249.00 	2.939 
248.00 	2.997 
247.00 	2.944 
246.00 	2.998 
245.00 	2.985 
244.00 	3.030 
243.00 	3.042 
242.00 	2.999 
241.00 	2.993 
240.00 	2.989 
239.00 	2.903 
238.00 	2.906 
237.00 	2.917 
236.00 	2.928 
235.00 	2.931 
234.00 	2.931 
233.00 	2.907 
232.00 	2.913 
231.00 	2.920 
230.00 	2.872 
229.00 	3.013 
228.00 	3.013 
227.00 	3.019 
226.00 	2.866 
225.00 	2.956 
224.00 	2.943 
223.00 	3.014 
222.00 	3.076 
221.00 	2.898 
220.00 	2.976 
219.00 	2.813 
218.00 	2.781 
217.00 	2.799 
216.00 	2.749 
215.00 	2.944 
214.00 	2.715 
213.00 	2.698 
212.00 	2.666 
211.00 	2.629 
210.00 	2.617 
209.00 	2.509 
208.00 	2.444 
207.00 	2.453 
206.00 	2.379 
205.00 	2.186 
204.00 	2.119 
203.00 	1.997 
202.00 	1.647 
201.00 	1.487 
200.00 	1.889 
199.00 	1.391 
198.00 	9.999 
197.00 	9.999 
196.00 	1.123 
195.00 	1.004 
194.00 	0.978 
193.00 	0.934 
192.00 	0.977 
191.00 	0.900 
190.00 	0.878 
