nm    	Abs   
300.00 	0.539 
299.00 	0.526 
298.00 	0.511 
297.00 	0.498 
296.00 	0.486 
295.00 	0.473 
294.00 	0.464 
293.00 	0.455 
292.00 	0.446 
291.00 	0.439 
290.00 	0.433 
289.00 	0.428 
288.00 	0.423 
287.00 	0.420 
286.00 	0.418 
285.00 	0.418 
284.00 	0.418 
283.00 	0.419 
282.00 	0.420 
281.00 	0.423 
280.00 	0.427 
279.00 	0.433 
278.00 	0.438 
277.00 	0.446 
276.00 	0.454 
275.00 	0.460 
274.00 	0.468 
273.00 	0.478 
272.00 	0.490 
271.00 	0.501 
270.00 	0.515 
269.00 	0.527 
268.00 	0.542 
267.00 	0.557 
266.00 	0.573 
265.00 	0.591 
264.00 	0.612 
263.00 	0.633 
262.00 	0.657 
261.00 	0.681 
260.00 	0.704 
259.00 	0.723 
258.00 	0.740 
257.00 	0.752 
256.00 	0.757 
255.00 	0.760 
254.00 	0.760 
253.00 	0.758 
252.00 	0.755 
251.00 	0.753 
250.00 	0.749 
249.00 	0.745 
248.00 	0.742 
247.00 	0.736 
246.00 	0.730 
245.00 	0.725 
244.00 	0.719 
243.00 	0.712 
242.00 	0.704 
241.00 	0.699 
240.00 	0.688 
239.00 	0.679 
238.00 	0.672 
237.00 	0.664 
236.00 	0.655 
235.00 	0.648 
234.00 	0.637 
233.00 	0.627 
232.00 	0.617 
231.00 	0.607 
230.00 	0.597 
229.00 	0.588 
228.00 	0.577 
227.00 	0.565 
226.00 	0.554 
225.00 	0.542 
224.00 	0.530 
223.00 	0.518 
222.00 	0.507 
221.00 	0.494 
220.00 	0.481 
219.00 	0.469 
218.00 	0.454 
217.00 	0.436 
216.00 	0.419 
215.00 	0.400 
214.00 	0.376 
213.00 	0.346 
212.00 	0.315 
211.00 	0.271 
210.00 	0.224 
209.00 	0.166 
208.00 	0.092 
207.00 	-0.002 
206.00 	-0.115 
205.00 	-0.252 
204.00 	-0.420 
203.00 	-0.627 
202.00 	-0.874 
201.00 	-1.153 
200.00 	-1.413 
199.00 	-1.596 
198.00 	-1.709 
197.00 	-1.669 
196.00 	-1.590 
195.00 	-1.477 
194.00 	-1.370 
193.00 	-1.233 
192.00 	-1.060 
191.00 	-0.891 
190.00 	-0.682 
