nm    	Abs  
300.00 	0.652 
299.00 	0.624 
298.00 	0.596 
297.00 	0.572 
296.00 	0.548 
295.00 	0.529 
294.00 	0.509 
293.00 	0.493 
292.00 	0.477 
291.00 	0.465 
290.00 	0.454 
289.00 	0.445 
288.00 	0.437 
287.00 	0.433 
286.00 	0.429 
285.00 	0.427 
284.00 	0.428 
283.00 	0.430 
282.00 	0.435 
281.00 	0.440 
280.00 	0.448 
279.00 	0.457 
278.00 	0.468 
277.00 	0.480 
276.00 	0.493 
275.00 	0.507 
274.00 	0.524 
273.00 	0.541 
272.00 	0.562 
271.00 	0.586 
270.00 	0.612 
269.00 	0.641 
268.00 	0.674 
267.00 	0.711 
266.00 	0.754 
265.00 	0.802 
264.00 	0.861 
263.00 	0.933 
262.00 	1.021 
261.00 	1.132 
260.00 	1.261 
259.00 	1.411 
258.00 	1.580 
257.00 	1.759 
256.00 	1.946 
255.00 	2.113 
254.00 	2.244 
253.00 	2.345 
252.00 	2.434 
251.00 	2.473 
250.00 	2.481 
249.00 	2.478 
248.00 	2.530 
247.00 	2.518 
246.00 	2.520 
245.00 	2.520 
244.00 	2.510 
243.00 	2.498 
242.00 	2.498 
241.00 	2.490 
240.00 	2.477 
239.00 	2.474 
238.00 	2.473 
237.00 	2.461 
236.00 	2.458 
235.00 	2.472 
234.00 	2.432 
233.00 	2.440 
232.00 	2.420 
231.00 	2.434 
230.00 	2.461 
229.00 	2.436 
228.00 	2.446 
227.00 	2.435 
226.00 	2.431 
225.00 	2.428 
224.00 	2.423 
223.00 	2.416 
222.00 	2.407 
221.00 	2.391 
220.00 	2.369 
219.00 	2.391 
218.00 	2.351 
217.00 	2.337 
216.00 	2.316 
215.00 	2.320 
214.00 	2.285 
213.00 	2.263 
212.00 	2.264 
211.00 	2.187 
210.00 	2.152 
209.00 	2.093 
208.00 	2.065 
207.00 	1.956 
206.00 	1.842 
205.00 	1.696 
204.00 	1.618 
203.00 	1.382 
202.00 	1.175 
201.00 	1.019 
200.00 	0.761 
199.00 	0.599 
198.00 	0.496 
197.00 	0.519 
196.00 	0.539 
195.00 	0.569 
194.00 	0.664 
193.00 	0.720 
192.00 	0.775 
191.00 	0.856 
190.00 	0.877 
