nm    	Abs   
300.00 	0.675 
299.00 	0.645 
298.00 	0.623 
297.00 	0.601 
296.00 	0.583 
295.00 	0.565 
294.00 	0.551 
293.00 	0.533 
292.00 	0.518 
291.00 	0.507 
290.00 	0.499 
289.00 	0.491 
288.00 	0.485 
287.00 	0.479 
286.00 	0.475 
285.00 	0.475 
284.00 	0.476 
283.00 	0.479 
282.00 	0.483 
281.00 	0.485 
280.00 	0.491 
279.00 	0.502 
278.00 	0.513 
277.00 	0.525 
276.00 	0.534 
275.00 	0.547 
274.00 	0.561 
273.00 	0.577 
272.00 	0.594 
271.00 	0.615 
270.00 	0.637 
269.00 	0.662 
268.00 	0.689 
267.00 	0.719 
266.00 	0.753 
265.00 	0.790 
264.00 	0.834 
263.00 	0.885 
262.00 	0.944 
261.00 	1.009 
260.00 	1.077 
259.00 	1.143 
258.00 	1.201 
257.00 	1.242 
256.00 	1.275 
255.00 	1.291 
254.00 	1.305 
253.00 	1.305 
252.00 	1.306 
251.00 	1.303 
250.00 	1.301 
249.00 	1.297 
248.00 	1.292 
247.00 	1.284 
246.00 	1.280 
245.00 	1.273 
244.00 	1.267 
243.00 	1.260 
242.00 	1.249 
241.00 	1.242 
240.00 	1.234 
239.00 	1.226 
238.00 	1.214 
237.00 	1.207 
236.00 	1.193 
235.00 	1.184 
234.00 	1.173 
233.00 	1.162 
232.00 	1.149 
231.00 	1.140 
230.00 	1.131 
229.00 	1.120 
228.00 	1.107 
227.00 	1.095 
226.00 	1.078 
225.00 	1.069 
224.00 	1.057 
223.00 	1.043 
222.00 	1.029 
221.00 	1.020 
220.00 	1.006 
219.00 	0.996 
218.00 	0.978 
217.00 	0.965 
216.00 	0.942 
215.00 	0.922 
214.00 	0.897 
213.00 	0.873 
212.00 	0.839 
211.00 	0.806 
210.00 	0.761 
209.00 	0.707 
208.00 	0.635 
207.00 	0.548 
206.00 	0.423 
205.00 	0.279 
204.00 	0.106 
203.00 	-0.090 
202.00 	-0.337 
201.00 	-0.592 
200.00 	-0.845 
199.00 	-1.041 
198.00 	-1.091 
197.00 	-1.079 
196.00 	-0.994 
195.00 	-0.886 
194.00 	-0.783 
193.00 	-0.617 
192.00 	-0.457 
191.00 	-0.283 
190.00 	-0.063 
