nm    	Abs   
300.00 	0.531 
299.00 	0.512 
298.00 	0.496 
297.00 	0.479 
296.00 	0.463 
295.00 	0.450 
294.00 	0.438 
293.00 	0.427 
292.00 	0.417 
291.00 	0.408 
290.00 	0.401 
289.00 	0.394 
288.00 	0.390 
287.00 	0.386 
286.00 	0.383 
285.00 	0.382 
284.00 	0.382 
283.00 	0.384 
282.00 	0.386 
281.00 	0.392 
280.00 	0.400 
279.00 	0.412 
278.00 	0.425 
277.00 	0.427 
276.00 	0.429 
275.00 	0.437 
274.00 	0.447 
273.00 	0.459 
272.00 	0.471 
271.00 	0.486 
270.00 	0.501 
269.00 	0.518 
268.00 	0.537 
267.00 	0.558 
266.00 	0.581 
265.00 	0.607 
264.00 	0.637 
263.00 	0.673 
262.00 	0.715 
261.00 	0.762 
260.00 	0.814 
259.00 	0.865 
258.00 	0.914 
257.00 	0.955 
256.00 	0.988 
255.00 	1.008 
254.00 	1.023 
253.00 	1.032 
252.00 	1.034 
251.00 	1.036 
250.00 	1.035 
249.00 	1.033 
248.00 	1.028 
247.00 	1.025 
246.00 	1.019 
245.00 	1.014 
244.00 	1.005 
243.00 	0.998 
242.00 	0.991 
241.00 	0.984 
240.00 	0.976 
239.00 	0.969 
238.00 	0.958 
237.00 	0.949 
236.00 	0.938 
235.00 	0.929 
234.00 	0.919 
233.00 	0.910 
232.00 	0.897 
231.00 	0.887 
230.00 	0.877 
229.00 	0.866 
228.00 	0.854 
227.00 	0.842 
226.00 	0.829 
225.00 	0.817 
224.00 	0.804 
223.00 	0.792 
222.00 	0.777 
221.00 	0.767 
220.00 	0.754 
219.00 	0.743 
218.00 	0.727 
217.00 	0.714 
216.00 	0.694 
215.00 	0.674 
214.00 	0.648 
213.00 	0.622 
212.00 	0.588 
211.00 	0.555 
210.00 	0.511 
209.00 	0.457 
208.00 	0.385 
207.00 	0.297 
206.00 	0.172 
205.00 	0.027 
204.00 	-0.143 
203.00 	-0.340 
202.00 	-0.585 
201.00 	-0.841 
200.00 	-1.095 
199.00 	-1.291 
198.00 	-1.340 
197.00 	-1.328 
196.00 	-1.241 
195.00 	-1.128 
194.00 	-1.021 
193.00 	-0.853 
192.00 	-0.690 
191.00 	-0.507 
190.00 	-0.291 
