nm    	Abs  
300.00 	0.350 
299.00 	0.334 
298.00 	0.319 
297.00 	0.303 
296.00 	0.289 
295.00 	0.277 
294.00 	0.267 
293.00 	0.257 
292.00 	0.248 
291.00 	0.241 
290.00 	0.235 
289.00 	0.231 
288.00 	0.226 
287.00 	0.224 
286.00 	0.222 
285.00 	0.222 
284.00 	0.223 
283.00 	0.225 
282.00 	0.227 
281.00 	0.231 
280.00 	0.236 
279.00 	0.242 
278.00 	0.248 
277.00 	0.255 
276.00 	0.263 
275.00 	0.271 
274.00 	0.281 
273.00 	0.292 
272.00 	0.304 
271.00 	0.318 
270.00 	0.332 
269.00 	0.350 
268.00 	0.369 
267.00 	0.391 
266.00 	0.415 
265.00 	0.444 
264.00 	0.479 
263.00 	0.523 
262.00 	0.576 
261.00 	0.643 
260.00 	0.724 
259.00 	0.822 
258.00 	0.933 
257.00 	1.060 
256.00 	1.194 
255.00 	1.343 
254.00 	1.490 
253.00 	1.639 
252.00 	1.777 
251.00 	1.900 
250.00 	2.010 
249.00 	2.098 
248.00 	2.167 
247.00 	2.224 
246.00 	2.274 
245.00 	2.312 
244.00 	2.342 
243.00 	2.345 
242.00 	2.372 
241.00 	2.377 
240.00 	2.369 
239.00 	2.360 
238.00 	2.356 
237.00 	2.341 
236.00 	2.333 
235.00 	2.312 
234.00 	2.296 
233.00 	2.300 
232.00 	2.273 
231.00 	2.284 
230.00 	2.294 
229.00 	2.292 
228.00 	2.280 
227.00 	2.311 
226.00 	2.349 
225.00 	2.359 
224.00 	2.424 
223.00 	2.423 
222.00 	2.513 
221.00 	2.499 
220.00 	2.517 
219.00 	2.586 
218.00 	2.587 
217.00 	2.555 
216.00 	2.561 
215.00 	2.682 
214.00 	2.626 
213.00 	2.663 
212.00 	2.554 
211.00 	2.598 
210.00 	2.558 
209.00 	2.397 
208.00 	2.364 
207.00 	2.259 
206.00 	2.222 
205.00 	2.098 
204.00 	1.848 
203.00 	1.700 
202.00 	1.640 
201.00 	1.562 
200.00 	1.090 
199.00 	0.936 
198.00 	1.004 
197.00 	0.908 
196.00 	1.155 
195.00 	0.715 
194.00 	0.736 
193.00 	0.643 
192.00 	0.721 
191.00 	0.678 
190.00 	0.686 
