nm    	Abs  
300.00 	0.563 
299.00 	0.545 
298.00 	0.527 
297.00 	0.511 
296.00 	0.496 
295.00 	0.483 
294.00 	0.471 
293.00 	0.461 
292.00 	0.453 
291.00 	0.446 
290.00 	0.441 
289.00 	0.436 
288.00 	0.434 
287.00 	0.432 
286.00 	0.432 
285.00 	0.434 
284.00 	0.437 
283.00 	0.442 
282.00 	0.448 
281.00 	0.456 
280.00 	0.465 
279.00 	0.475 
278.00 	0.485 
277.00 	0.496 
276.00 	0.509 
275.00 	0.522 
274.00 	0.536 
273.00 	0.554 
272.00 	0.571 
271.00 	0.592 
270.00 	0.615 
269.00 	0.641 
268.00 	0.670 
267.00 	0.702 
266.00 	0.739 
265.00 	0.783 
264.00 	0.836 
263.00 	0.901 
262.00 	0.981 
261.00 	1.078 
260.00 	1.195 
259.00 	1.333 
258.00 	1.484 
257.00 	1.645 
256.00 	1.810 
255.00 	1.964 
254.00 	2.113 
253.00 	2.230 
252.00 	2.308 
251.00 	2.384 
250.00 	2.420 
249.00 	2.444 
248.00 	2.462 
247.00 	2.463 
246.00 	2.459 
245.00 	2.473 
244.00 	2.476 
243.00 	2.477 
242.00 	2.465 
241.00 	2.467 
240.00 	2.480 
239.00 	2.468 
238.00 	2.430 
237.00 	2.425 
236.00 	2.436 
235.00 	2.394 
234.00 	2.432 
233.00 	2.391 
232.00 	2.427 
231.00 	2.421 
230.00 	2.404 
229.00 	2.405 
228.00 	2.397 
227.00 	2.382 
226.00 	2.369 
225.00 	2.365 
224.00 	2.374 
223.00 	2.361 
222.00 	2.341 
221.00 	2.385 
220.00 	2.393 
219.00 	2.366 
218.00 	2.344 
217.00 	2.328 
216.00 	2.334 
215.00 	2.301 
214.00 	2.289 
213.00 	2.253 
212.00 	2.209 
211.00 	2.203 
210.00 	2.145 
209.00 	2.140 
208.00 	2.034 
207.00 	1.966 
206.00 	1.871 
205.00 	1.760 
204.00 	1.589 
203.00 	1.437 
202.00 	1.253 
201.00 	1.026 
200.00 	0.841 
199.00 	0.672 
198.00 	0.632 
197.00 	0.587 
196.00 	0.670 
195.00 	0.666 
194.00 	0.746 
193.00 	0.760 
192.00 	0.767 
191.00 	0.767 
190.00 	0.801 
