nm    	Abs   
300.00 	0.557 
299.00 	0.535 
298.00 	0.512 
297.00 	0.493 
296.00 	0.473 
295.00 	0.457 
294.00 	0.441 
293.00 	0.429 
292.00 	0.416 
291.00 	0.406 
290.00 	0.398 
289.00 	0.407 
288.00 	0.392 
287.00 	0.385 
286.00 	0.381 
285.00 	0.379 
284.00 	0.380 
283.00 	0.381 
282.00 	0.384 
281.00 	0.388 
280.00 	0.394 
279.00 	0.401 
278.00 	0.410 
277.00 	0.419 
276.00 	0.429 
275.00 	0.440 
274.00 	0.452 
273.00 	0.466 
272.00 	0.482 
271.00 	0.500 
270.00 	0.519 
269.00 	0.540 
268.00 	0.564 
267.00 	0.591 
266.00 	0.621 
265.00 	0.656 
264.00 	0.696 
263.00 	0.745 
262.00 	0.804 
261.00 	0.872 
260.00 	0.951 
259.00 	1.032 
258.00 	1.116 
257.00 	1.191 
256.00 	1.255 
255.00 	1.298 
254.00 	1.331 
253.00 	1.350 
252.00 	1.366 
251.00 	1.368 
250.00 	1.371 
249.00 	1.373 
248.00 	1.370 
247.00 	1.368 
246.00 	1.363 
245.00 	1.358 
244.00 	1.350 
243.00 	1.346 
242.00 	1.339 
241.00 	1.333 
240.00 	1.328 
239.00 	1.320 
238.00 	1.310 
237.00 	1.301 
236.00 	1.291 
235.00 	1.286 
234.00 	1.273 
233.00 	1.265 
232.00 	1.255 
231.00 	1.244 
230.00 	1.237 
229.00 	1.224 
228.00 	1.214 
227.00 	1.199 
226.00 	1.189 
225.00 	1.174 
224.00 	1.164 
223.00 	1.147 
222.00 	1.138 
221.00 	1.127 
220.00 	1.115 
219.00 	1.097 
218.00 	1.088 
217.00 	1.076 
216.00 	1.056 
215.00 	1.033 
214.00 	1.010 
213.00 	0.986 
212.00 	0.951 
211.00 	0.920 
210.00 	0.876 
209.00 	0.821 
208.00 	0.748 
207.00 	0.663 
206.00 	0.536 
205.00 	0.392 
204.00 	0.225 
203.00 	0.029 
202.00 	-0.221 
201.00 	-0.469 
200.00 	-0.723 
199.00 	-0.924 
198.00 	-0.968 
197.00 	-0.960 
196.00 	-0.869 
195.00 	-0.767 
194.00 	-0.655 
193.00 	-0.504 
192.00 	-0.337 
191.00 	-0.171 
190.00 	0.047 
