nm    	Abs  
300.00 	2.033 
299.00 	2.013 
298.00 	1.997 
297.00 	1.980 
296.00 	1.968 
295.00 	1.953 
294.00 	1.939 
293.00 	1.925 
292.00 	1.926 
291.00 	1.915 
290.00 	1.910 
289.00 	1.907 
288.00 	1.902 
287.00 	1.901 
286.00 	1.904 
285.00 	1.902 
284.00 	1.900 
283.00 	1.905 
282.00 	1.915 
281.00 	1.928 
280.00 	1.929 
279.00 	1.939 
278.00 	1.951 
277.00 	1.965 
276.00 	1.980 
275.00 	1.989 
274.00 	1.999 
273.00 	2.016 
272.00 	2.031 
271.00 	2.052 
270.00 	2.070 
269.00 	2.088 
268.00 	2.118 
267.00 	2.144 
266.00 	2.174 
265.00 	2.205 
264.00 	2.235 
263.00 	2.294 
262.00 	2.320 
261.00 	2.388 
260.00 	2.436 
259.00 	2.493 
258.00 	2.528 
257.00 	2.562 
256.00 	2.589 
255.00 	2.610 
254.00 	2.608 
253.00 	2.601 
252.00 	2.598 
251.00 	2.611 
250.00 	2.599 
249.00 	2.615 
248.00 	2.617 
247.00 	2.629 
246.00 	2.596 
245.00 	2.608 
244.00 	2.621 
243.00 	2.591 
242.00 	2.625 
241.00 	2.592 
240.00 	2.610 
239.00 	2.613 
238.00 	2.615 
237.00 	2.600 
236.00 	2.593 
235.00 	2.590 
234.00 	2.578 
233.00 	2.591 
232.00 	2.564 
231.00 	2.560 
230.00 	2.561 
229.00 	2.574 
228.00 	2.565 
227.00 	2.564 
226.00 	2.561 
225.00 	2.554 
224.00 	2.625 
223.00 	2.551 
222.00 	2.536 
221.00 	2.548 
220.00 	2.580 
219.00 	2.589 
218.00 	2.548 
217.00 	2.542 
216.00 	2.558 
215.00 	2.547 
214.00 	2.516 
213.00 	2.494 
212.00 	2.444 
211.00 	2.431 
210.00 	2.405 
209.00 	2.352 
208.00 	2.342 
207.00 	2.209 
206.00 	2.222 
205.00 	2.145 
204.00 	1.848 
203.00 	1.906 
202.00 	1.665 
201.00 	1.904 
200.00 	1.764 
199.00 	9.999 
198.00 	9.999 
197.00 	9.999 
196.00 	9.999 
195.00 	9.999 
194.00 	1.647 
193.00 	2.045 
192.00 	1.299 
191.00 	1.319 
190.00 	1.374 
