nm    	Abs   
300.00 	0.261 
299.00 	0.269 
298.00 	0.278 
297.00 	0.284 
296.00 	0.291 
295.00 	0.297 
294.00 	0.302 
293.00 	0.307 
292.00 	0.311 
291.00 	0.313 
290.00 	0.315 
289.00 	0.316 
288.00 	0.317 
287.00 	0.316 
286.00 	0.316 
285.00 	0.317 
284.00 	0.319 
283.00 	0.322 
282.00 	0.328 
281.00 	0.334 
280.00 	0.336 
279.00 	0.334 
278.00 	0.326 
277.00 	0.319 
276.00 	0.315 
275.00 	0.318 
274.00 	0.323 
273.00 	0.328 
272.00 	0.328 
271.00 	0.328 
270.00 	0.327 
269.00 	0.330 
268.00 	0.333 
267.00 	0.339 
266.00 	0.345 
265.00 	0.353 
264.00 	0.362 
263.00 	0.372 
262.00 	0.382 
261.00 	0.395 
260.00 	0.411 
259.00 	0.428 
258.00 	0.447 
257.00 	0.469 
256.00 	0.494 
255.00 	0.520 
254.00 	0.552 
253.00 	0.587 
252.00 	0.625 
251.00 	0.666 
250.00 	0.708 
249.00 	0.754 
248.00 	0.800 
247.00 	0.846 
246.00 	0.891 
245.00 	0.939 
244.00 	0.983 
243.00 	1.029 
242.00 	1.071 
241.00 	1.112 
240.00 	1.144 
239.00 	1.173 
238.00 	1.196 
237.00 	1.217 
236.00 	1.230 
235.00 	1.239 
234.00 	1.246 
233.00 	1.249 
232.00 	1.247 
231.00 	1.245 
230.00 	1.241 
229.00 	1.238 
228.00 	1.233 
227.00 	1.223 
226.00 	1.220 
225.00 	1.208 
224.00 	1.200 
223.00 	1.186 
222.00 	1.178 
221.00 	1.164 
220.00 	1.156 
219.00 	1.142 
218.00 	1.132 
217.00 	1.114 
216.00 	1.101 
215.00 	1.083 
214.00 	1.066 
213.00 	1.040 
212.00 	1.013 
211.00 	0.972 
210.00 	0.932 
209.00 	0.878 
208.00 	0.812 
207.00 	0.726 
206.00 	0.626 
205.00 	0.500 
204.00 	0.351 
203.00 	0.169 
202.00 	-0.061 
201.00 	-0.325 
200.00 	-0.600 
199.00 	-0.825 
198.00 	-0.953 
197.00 	-0.968 
196.00 	-0.937 
195.00 	-0.817 
194.00 	-0.710 
193.00 	-0.573 
192.00 	-0.429 
191.00 	-0.269 
190.00 	-0.103 
