nm    	Abs  
300.00 	0.198 
299.00 	0.207 
298.00 	0.216 
297.00 	0.223 
296.00 	0.231 
295.00 	0.237 
294.00 	0.244 
293.00 	0.248 
292.00 	0.252 
291.00 	0.253 
290.00 	0.254 
289.00 	0.255 
288.00 	0.254 
287.00 	0.254 
286.00 	0.254 
285.00 	0.253 
284.00 	0.255 
283.00 	0.257 
282.00 	0.262 
281.00 	0.268 
280.00 	0.270 
279.00 	0.267 
278.00 	0.259 
277.00 	0.252 
276.00 	0.248 
275.00 	0.249 
274.00 	0.252 
273.00 	0.254 
272.00 	0.254 
271.00 	0.254 
270.00 	0.254 
269.00 	0.257 
268.00 	0.259 
267.00 	0.263 
266.00 	0.266 
265.00 	0.271 
264.00 	0.275 
263.00 	0.280 
262.00 	0.284 
261.00 	0.288 
260.00 	0.293 
259.00 	0.299 
258.00 	0.304 
257.00 	0.311 
256.00 	0.319 
255.00 	0.328 
254.00 	0.340 
253.00 	0.352 
252.00 	0.365 
251.00 	0.379 
250.00 	0.391 
249.00 	0.405 
248.00 	0.418 
247.00 	0.431 
246.00 	0.443 
245.00 	0.455 
244.00 	0.465 
243.00 	0.474 
242.00 	0.481 
241.00 	0.486 
240.00 	0.489 
239.00 	0.490 
238.00 	0.490 
237.00 	0.488 
236.00 	0.485 
235.00 	0.483 
234.00 	0.478 
233.00 	0.475 
232.00 	0.472 
231.00 	0.469 
230.00 	0.469 
229.00 	0.471 
228.00 	0.477 
227.00 	0.486 
226.00 	0.502 
225.00 	0.524 
224.00 	0.554 
223.00 	0.595 
222.00 	0.650 
221.00 	0.716 
220.00 	0.794 
219.00 	0.886 
218.00 	0.993 
217.00 	1.112 
216.00 	1.242 
215.00 	1.375 
214.00 	1.507 
213.00 	1.638 
212.00 	1.734 
211.00 	1.822 
210.00 	1.847 
209.00 	1.879 
208.00 	1.870 
207.00 	1.783 
206.00 	1.681 
205.00 	1.558 
204.00 	1.385 
203.00 	1.164 
202.00 	0.929 
201.00 	0.662 
200.00 	0.370 
199.00 	0.141 
198.00 	0.072 
197.00 	0.053 
196.00 	0.166 
195.00 	0.225 
194.00 	0.319 
193.00 	0.300 
192.00 	0.308 
191.00 	0.312 
190.00 	0.325 
