nm    	Abs   
300.00 	0.276 
299.00 	0.283 
298.00 	0.291 
297.00 	0.298 
296.00 	0.304 
295.00 	0.310 
294.00 	0.315 
293.00 	0.319 
292.00 	0.323 
291.00 	0.325 
290.00 	0.326 
289.00 	0.325 
288.00 	0.325 
287.00 	0.324 
286.00 	0.323 
285.00 	0.322 
284.00 	0.323 
283.00 	0.326 
282.00 	0.331 
281.00 	0.336 
280.00 	0.339 
279.00 	0.336 
278.00 	0.329 
277.00 	0.322 
276.00 	0.319 
275.00 	0.320 
274.00 	0.323 
273.00 	0.325 
272.00 	0.325 
271.00 	0.324 
270.00 	0.323 
269.00 	0.325 
268.00 	0.328 
267.00 	0.331 
266.00 	0.334 
265.00 	0.338 
264.00 	0.341 
263.00 	0.346 
262.00 	0.349 
261.00 	0.353 
260.00 	0.357 
259.00 	0.362 
258.00 	0.368 
257.00 	0.374 
256.00 	0.382 
255.00 	0.392 
254.00 	0.402 
253.00 	0.413 
252.00 	0.425 
251.00 	0.438 
250.00 	0.450 
249.00 	0.462 
248.00 	0.475 
247.00 	0.487 
246.00 	0.498 
245.00 	0.508 
244.00 	0.518 
243.00 	0.527 
242.00 	0.533 
241.00 	0.539 
240.00 	0.543 
239.00 	0.545 
238.00 	0.547 
237.00 	0.546 
236.00 	0.546 
235.00 	0.545 
234.00 	0.545 
233.00 	0.544 
232.00 	0.543 
231.00 	0.543 
230.00 	0.543 
229.00 	0.545 
228.00 	0.550 
227.00 	0.555 
226.00 	0.565 
225.00 	0.577 
224.00 	0.593 
223.00 	0.615 
222.00 	0.637 
221.00 	0.666 
220.00 	0.691 
219.00 	0.714 
218.00 	0.733 
217.00 	0.747 
216.00 	0.752 
215.00 	0.751 
214.00 	0.740 
213.00 	0.726 
212.00 	0.699 
211.00 	0.668 
210.00 	0.622 
209.00 	0.570 
208.00 	0.504 
207.00 	0.421 
206.00 	0.315 
205.00 	0.194 
204.00 	0.038 
203.00 	-0.144 
202.00 	-0.378 
201.00 	-0.639 
200.00 	-0.919 
199.00 	-1.147 
198.00 	-1.277 
197.00 	-1.291 
196.00 	-1.260 
195.00 	-1.137 
194.00 	-1.032 
193.00 	-0.888 
192.00 	-0.747 
191.00 	-0.578 
190.00 	-0.389 
