nm    	Abs   
300.00 	0.177 
299.00 	0.184 
298.00 	0.191 
297.00 	0.197 
296.00 	0.203 
295.00 	0.210 
294.00 	0.216 
293.00 	0.223 
292.00 	0.229 
291.00 	0.235 
290.00 	0.240 
289.00 	0.246 
288.00 	0.251 
287.00 	0.255 
286.00 	0.261 
285.00 	0.264 
284.00 	0.269 
283.00 	0.271 
282.00 	0.275 
281.00 	0.278 
280.00 	0.281 
279.00 	0.286 
278.00 	0.293 
277.00 	0.303 
276.00 	0.315 
275.00 	0.324 
274.00 	0.323 
273.00 	0.310 
272.00 	0.299 
271.00 	0.299 
270.00 	0.305 
269.00 	0.311 
268.00 	0.312 
267.00 	0.307 
266.00 	0.300 
265.00 	0.295 
264.00 	0.291 
263.00 	0.288 
262.00 	0.284 
261.00 	0.281 
260.00 	0.279 
259.00 	0.276 
258.00 	0.274 
257.00 	0.273 
256.00 	0.273 
255.00 	0.275 
254.00 	0.279 
253.00 	0.284 
252.00 	0.292 
251.00 	0.301 
250.00 	0.312 
249.00 	0.326 
248.00 	0.342 
247.00 	0.360 
246.00 	0.380 
245.00 	0.400 
244.00 	0.420 
243.00 	0.440 
242.00 	0.461 
241.00 	0.478 
240.00 	0.495 
239.00 	0.508 
238.00 	0.517 
237.00 	0.523 
236.00 	0.526 
235.00 	0.525 
234.00 	0.520 
233.00 	0.513 
232.00 	0.501 
231.00 	0.486 
230.00 	0.469 
229.00 	0.450 
228.00 	0.430 
227.00 	0.409 
226.00 	0.388 
225.00 	0.370 
224.00 	0.351 
223.00 	0.336 
222.00 	0.324 
221.00 	0.318 
220.00 	0.316 
219.00 	0.323 
218.00 	0.332 
217.00 	0.348 
216.00 	0.369 
215.00 	0.392 
214.00 	0.420 
213.00 	0.450 
212.00 	0.477 
211.00 	0.502 
210.00 	0.520 
209.00 	0.533 
208.00 	0.542 
207.00 	0.547 
206.00 	0.543 
205.00 	0.529 
204.00 	0.493 
203.00 	0.427 
202.00 	0.304 
201.00 	0.137 
200.00 	-0.057 
199.00 	-0.232 
198.00 	-0.332 
197.00 	-0.340 
196.00 	-0.294 
195.00 	-0.216 
194.00 	-0.115 
193.00 	-0.043 
192.00 	0.015 
191.00 	0.090 
190.00 	0.163 
