nm    	Abs   
300.00 	0.243 
299.00 	0.251 
298.00 	0.259 
297.00 	0.266 
296.00 	0.273 
295.00 	0.279 
294.00 	0.284 
293.00 	0.288 
292.00 	0.292 
291.00 	0.294 
290.00 	0.295 
289.00 	0.296 
288.00 	0.295 
287.00 	0.294 
286.00 	0.293 
285.00 	0.293 
284.00 	0.293 
283.00 	0.296 
282.00 	0.299 
281.00 	0.305 
280.00 	0.307 
279.00 	0.305 
278.00 	0.298 
277.00 	0.292 
276.00 	0.290 
275.00 	0.292 
274.00 	0.295 
273.00 	0.296 
272.00 	0.294 
271.00 	0.294 
270.00 	0.295 
269.00 	0.298 
268.00 	0.301 
267.00 	0.303 
266.00 	0.307 
265.00 	0.310 
264.00 	0.314 
263.00 	0.318 
262.00 	0.321 
261.00 	0.325 
260.00 	0.329 
259.00 	0.333 
258.00 	0.336 
257.00 	0.342 
256.00 	0.349 
255.00 	0.357 
254.00 	0.366 
253.00 	0.376 
252.00 	0.387 
251.00 	0.397 
250.00 	0.408 
249.00 	0.420 
248.00 	0.430 
247.00 	0.440 
246.00 	0.448 
245.00 	0.456 
244.00 	0.460 
243.00 	0.465 
242.00 	0.467 
241.00 	0.467 
240.00 	0.464 
239.00 	0.459 
238.00 	0.453 
237.00 	0.445 
236.00 	0.435 
235.00 	0.426 
234.00 	0.415 
233.00 	0.403 
232.00 	0.390 
231.00 	0.378 
230.00 	0.367 
229.00 	0.358 
228.00 	0.351 
227.00 	0.348 
226.00 	0.348 
225.00 	0.354 
224.00 	0.366 
223.00 	0.387 
222.00 	0.419 
221.00 	0.461 
220.00 	0.515 
219.00 	0.576 
218.00 	0.648 
217.00 	0.725 
216.00 	0.805 
215.00 	0.876 
214.00 	0.941 
213.00 	0.988 
212.00 	1.015 
211.00 	1.021 
210.00 	1.005 
209.00 	0.967 
208.00 	0.912 
207.00 	0.836 
206.00 	0.737 
205.00 	0.609 
204.00 	0.458 
203.00 	0.270 
202.00 	0.034 
201.00 	-0.231 
200.00 	-0.510 
199.00 	-0.738 
198.00 	-0.859 
197.00 	-0.865 
196.00 	-0.819 
195.00 	-0.689 
194.00 	-0.584 
193.00 	-0.458 
192.00 	-0.332 
191.00 	-0.204 
190.00 	-0.071 
