nm    	Abs  
300.00 	0.314 
299.00 	0.322 
298.00 	0.329 
297.00 	0.334 
296.00 	0.338 
295.00 	0.341 
294.00 	0.344 
293.00 	0.344 
292.00 	0.344 
291.00 	0.341 
290.00 	0.338 
289.00 	0.334 
288.00 	0.330 
287.00 	0.325 
286.00 	0.322 
285.00 	0.320 
284.00 	0.319 
283.00 	0.322 
282.00 	0.327 
281.00 	0.333 
280.00 	0.333 
279.00 	0.324 
278.00 	0.311 
277.00 	0.304 
276.00 	0.303 
275.00 	0.308 
274.00 	0.312 
273.00 	0.314 
272.00 	0.313 
271.00 	0.314 
270.00 	0.318 
269.00 	0.324 
268.00 	0.332 
267.00 	0.340 
266.00 	0.349 
265.00 	0.359 
264.00 	0.369 
263.00 	0.381 
262.00 	0.392 
261.00 	0.403 
260.00 	0.416 
259.00 	0.430 
258.00 	0.443 
257.00 	0.458 
256.00 	0.474 
255.00 	0.491 
254.00 	0.509 
253.00 	0.529 
252.00 	0.547 
251.00 	0.566 
250.00 	0.583 
249.00 	0.600 
248.00 	0.614 
247.00 	0.625 
246.00 	0.634 
245.00 	0.641 
244.00 	0.645 
243.00 	0.646 
242.00 	0.644 
241.00 	0.640 
240.00 	0.634 
239.00 	0.627 
238.00 	0.619 
237.00 	0.610 
236.00 	0.600 
235.00 	0.591 
234.00 	0.584 
233.00 	0.576 
232.00 	0.570 
231.00 	0.566 
230.00 	0.567 
229.00 	0.572 
228.00 	0.583 
227.00 	0.602 
226.00 	0.629 
225.00 	0.667 
224.00 	0.719 
223.00 	0.787 
222.00 	0.877 
221.00 	0.981 
220.00 	1.105 
219.00 	1.236 
218.00 	1.373 
217.00 	1.506 
216.00 	1.630 
215.00 	1.720 
214.00 	1.799 
213.00 	1.834 
212.00 	1.844 
211.00 	1.848 
210.00 	1.821 
209.00 	1.773 
208.00 	1.715 
207.00 	1.623 
206.00 	1.532 
205.00 	1.413 
204.00 	1.285 
203.00 	1.119 
202.00 	0.930 
201.00 	0.665 
200.00 	0.392 
199.00 	0.186 
198.00 	0.113 
197.00 	0.091 
196.00 	0.084 
195.00 	0.159 
194.00 	0.206 
193.00 	0.284 
192.00 	0.300 
191.00 	0.331 
190.00 	0.356 
