nm    	Abs   
300.00 	0.224 
299.00 	0.232 
298.00 	0.241 
297.00 	0.248 
296.00 	0.255 
295.00 	0.261 
294.00 	0.266 
293.00 	0.271 
292.00 	0.274 
291.00 	0.276 
290.00 	0.277 
289.00 	0.277 
288.00 	0.276 
287.00 	0.275 
286.00 	0.274 
285.00 	0.273 
284.00 	0.273 
283.00 	0.274 
282.00 	0.278 
281.00 	0.281 
280.00 	0.283 
279.00 	0.280 
278.00 	0.273 
277.00 	0.267 
276.00 	0.265 
275.00 	0.267 
274.00 	0.269 
273.00 	0.269 
272.00 	0.269 
271.00 	0.269 
270.00 	0.270 
269.00 	0.273 
268.00 	0.276 
267.00 	0.279 
266.00 	0.283 
265.00 	0.286 
264.00 	0.290 
263.00 	0.295 
262.00 	0.298 
261.00 	0.303 
260.00 	0.307 
259.00 	0.312 
258.00 	0.318 
257.00 	0.325 
256.00 	0.332 
255.00 	0.341 
254.00 	0.351 
253.00 	0.362 
252.00 	0.374 
251.00 	0.386 
250.00 	0.397 
249.00 	0.410 
248.00 	0.421 
247.00 	0.431 
246.00 	0.441 
245.00 	0.450 
244.00 	0.456 
243.00 	0.461 
242.00 	0.464 
241.00 	0.465 
240.00 	0.463 
239.00 	0.460 
238.00 	0.454 
237.00 	0.446 
236.00 	0.437 
235.00 	0.428 
234.00 	0.417 
233.00 	0.406 
232.00 	0.394 
231.00 	0.382 
230.00 	0.372 
229.00 	0.364 
228.00 	0.358 
227.00 	0.356 
226.00 	0.359 
225.00 	0.367 
224.00 	0.382 
223.00 	0.406 
222.00 	0.444 
221.00 	0.494 
220.00 	0.555 
219.00 	0.627 
218.00 	0.712 
217.00 	0.807 
216.00 	0.906 
215.00 	1.007 
214.00 	1.097 
213.00 	1.177 
212.00 	1.234 
211.00 	1.268 
210.00 	1.266 
209.00 	1.248 
208.00 	1.202 
207.00 	1.131 
206.00 	1.028 
205.00 	0.908 
204.00 	0.750 
203.00 	0.554 
202.00 	0.311 
201.00 	0.050 
200.00 	-0.237 
199.00 	-0.464 
198.00 	-0.581 
197.00 	-0.569 
196.00 	-0.515 
195.00 	-0.374 
194.00 	-0.265 
193.00 	-0.175 
192.00 	-0.068 
191.00 	0.022 
190.00 	0.106 
