nm    	Abs   
300.00 	0.235 
299.00 	0.243 
298.00 	0.251 
297.00 	0.259 
296.00 	0.265 
295.00 	0.272 
294.00 	0.277 
293.00 	0.281 
292.00 	0.285 
291.00 	0.287 
290.00 	0.288 
289.00 	0.288 
288.00 	0.288 
287.00 	0.286 
286.00 	0.285 
285.00 	0.284 
284.00 	0.285 
283.00 	0.286 
282.00 	0.289 
281.00 	0.292 
280.00 	0.294 
279.00 	0.291 
278.00 	0.285 
277.00 	0.279 
276.00 	0.278 
275.00 	0.279 
274.00 	0.282 
273.00 	0.281 
272.00 	0.281 
271.00 	0.281 
270.00 	0.283 
269.00 	0.285 
268.00 	0.288 
267.00 	0.289 
266.00 	0.292 
265.00 	0.295 
264.00 	0.299 
263.00 	0.302 
262.00 	0.306 
261.00 	0.308 
260.00 	0.312 
259.00 	0.316 
258.00 	0.320 
257.00 	0.325 
256.00 	0.331 
255.00 	0.338 
254.00 	0.348 
253.00 	0.356 
252.00 	0.368 
251.00 	0.378 
250.00 	0.388 
249.00 	0.399 
248.00 	0.409 
247.00 	0.418 
246.00 	0.427 
245.00 	0.435 
244.00 	0.441 
243.00 	0.445 
242.00 	0.448 
241.00 	0.449 
240.00 	0.447 
239.00 	0.444 
238.00 	0.438 
237.00 	0.430 
236.00 	0.421 
235.00 	0.412 
234.00 	0.402 
233.00 	0.389 
232.00 	0.378 
231.00 	0.366 
230.00 	0.355 
229.00 	0.346 
228.00 	0.339 
227.00 	0.334 
226.00 	0.334 
225.00 	0.339 
224.00 	0.351 
223.00 	0.373 
222.00 	0.405 
221.00 	0.448 
220.00 	0.501 
219.00 	0.568 
218.00 	0.642 
217.00 	0.730 
216.00 	0.820 
215.00 	0.914 
214.00 	1.001 
213.00 	1.080 
212.00 	1.131 
211.00 	1.163 
210.00 	1.162 
209.00 	1.141 
208.00 	1.093 
207.00 	1.023 
206.00 	0.927 
205.00 	0.801 
204.00 	0.650 
203.00 	0.459 
202.00 	0.218 
201.00 	-0.051 
200.00 	-0.334 
199.00 	-0.564 
198.00 	-0.676 
197.00 	-0.667 
196.00 	-0.611 
195.00 	-0.466 
194.00 	-0.361 
193.00 	-0.241 
192.00 	-0.137 
191.00 	-0.033 
190.00 	0.074 
