nm    	Abs  
300.00 	0.340 
299.00 	0.357 
298.00 	0.374 
297.00 	0.392 
296.00 	0.409 
295.00 	0.427 
294.00 	0.445 
293.00 	0.465 
292.00 	0.486 
291.00 	0.511 
290.00 	0.541 
289.00 	0.578 
288.00 	0.627 
287.00 	0.692 
286.00 	0.783 
285.00 	0.906 
284.00 	1.085 
283.00 	1.322 
282.00 	1.645 
281.00 	2.046 
280.00 	2.469 
279.00 	2.696 
278.00 	2.840 
277.00 	2.705 
276.00 	2.608 
275.00 	2.605 
274.00 	2.701 
273.00 	2.942 
272.00 	3.029 
271.00 	3.081 
270.00 	2.949 
269.00 	2.946 
268.00 	2.878 
267.00 	2.897 
266.00 	2.960 
265.00 	2.965 
264.00 	2.964 
263.00 	2.844 
262.00 	2.891 
261.00 	2.875 
260.00 	2.878 
259.00 	2.838 
258.00 	2.843 
257.00 	2.877 
256.00 	2.854 
255.00 	3.006 
254.00 	3.126 
253.00 	3.101 
252.00 	3.120 
251.00 	3.117 
250.00 	3.083 
249.00 	3.124 
248.00 	3.108 
247.00 	3.117 
246.00 	3.123 
245.00 	3.091 
244.00 	3.095 
243.00 	3.087 
242.00 	3.080 
241.00 	3.030 
240.00 	3.046 
239.00 	3.079 
238.00 	3.015 
237.00 	3.039 
236.00 	3.026 
235.00 	3.022 
234.00 	3.024 
233.00 	3.059 
232.00 	3.187 
231.00 	3.133 
230.00 	3.193 
229.00 	3.219 
228.00 	3.295 
227.00 	3.152 
226.00 	3.020 
225.00 	3.297 
224.00 	3.087 
223.00 	3.016 
222.00 	3.146 
221.00 	3.117 
220.00 	3.026 
219.00 	3.184 
218.00 	3.246 
217.00 	3.309 
216.00 	3.155 
215.00 	2.863 
214.00 	2.853 
213.00 	2.862 
212.00 	2.901 
211.00 	2.765 
210.00 	2.632 
209.00 	2.731 
208.00 	2.622 
207.00 	2.584 
206.00 	2.371 
205.00 	2.252 
204.00 	2.154 
203.00 	2.095 
202.00 	2.007 
201.00 	2.180 
200.00 	9.999 
199.00 	9.999 
198.00 	9.999 
197.00 	1.725 
196.00 	1.210 
195.00 	1.204 
194.00 	1.050 
193.00 	0.933 
192.00 	0.866 
191.00 	0.848 
190.00 	0.816 
