nm    	Abs  
300.00 	0.350 
299.00 	0.365 
298.00 	0.379 
297.00 	0.393 
296.00 	0.407 
295.00 	0.420 
294.00 	0.433 
293.00 	0.446 
292.00 	0.459 
291.00 	0.473 
290.00 	0.489 
289.00 	0.508 
288.00 	0.533 
287.00 	0.567 
286.00 	0.620 
285.00 	0.704 
284.00 	0.831 
283.00 	1.022 
282.00 	1.282 
281.00 	1.624 
280.00 	1.986 
279.00 	2.248 
278.00 	2.307 
277.00 	2.250 
276.00 	2.149 
275.00 	2.124 
274.00 	2.205 
273.00 	2.297 
272.00 	2.352 
271.00 	2.361 
270.00 	2.323 
269.00 	2.323 
268.00 	2.300 
267.00 	2.296 
266.00 	2.296 
265.00 	2.289 
264.00 	2.285 
263.00 	2.269 
262.00 	2.247 
261.00 	2.225 
260.00 	2.223 
259.00 	2.228 
258.00 	2.231 
257.00 	2.256 
256.00 	2.255 
255.00 	2.279 
254.00 	2.311 
253.00 	2.320 
252.00 	2.345 
251.00 	2.343 
250.00 	2.361 
249.00 	2.348 
248.00 	2.376 
247.00 	2.358 
246.00 	2.365 
245.00 	2.353 
244.00 	2.346 
243.00 	2.345 
242.00 	2.329 
241.00 	2.331 
240.00 	2.325 
239.00 	2.320 
238.00 	2.306 
237.00 	2.297 
236.00 	2.285 
235.00 	2.276 
234.00 	2.264 
233.00 	2.280 
232.00 	2.248 
231.00 	2.266 
230.00 	2.255 
229.00 	2.280 
228.00 	2.265 
227.00 	2.263 
226.00 	2.254 
225.00 	2.235 
224.00 	2.232 
223.00 	2.267 
222.00 	2.249 
221.00 	2.261 
220.00 	2.237 
219.00 	2.266 
218.00 	2.245 
217.00 	2.259 
216.00 	2.230 
215.00 	2.222 
214.00 	2.190 
213.00 	2.165 
212.00 	2.139 
211.00 	2.106 
210.00 	2.050 
209.00 	2.002 
208.00 	1.971 
207.00 	1.855 
206.00 	1.730 
205.00 	1.587 
204.00 	1.482 
203.00 	1.254 
202.00 	1.022 
201.00 	0.787 
200.00 	0.539 
199.00 	0.405 
198.00 	0.323 
197.00 	0.315 
196.00 	0.368 
195.00 	0.490 
194.00 	0.402 
193.00 	0.531 
192.00 	0.539 
191.00 	0.610 
190.00 	0.681 
