nm    	Abs   
300.00 	0.327 
299.00 	0.338 
298.00 	0.350 
297.00 	0.361 
296.00 	0.371 
295.00 	0.382 
294.00 	0.392 
293.00 	0.402 
292.00 	0.413 
291.00 	0.424 
290.00 	0.437 
289.00 	0.453 
288.00 	0.473 
287.00 	0.501 
286.00 	0.543 
285.00 	0.606 
284.00 	0.703 
283.00 	0.836 
282.00 	1.007 
281.00 	1.187 
280.00 	1.336 
279.00 	1.407 
278.00 	1.423 
277.00 	1.406 
276.00 	1.379 
275.00 	1.367 
274.00 	1.391 
273.00 	1.418 
272.00 	1.431 
271.00 	1.434 
270.00 	1.428 
269.00 	1.420 
268.00 	1.415 
267.00 	1.417 
266.00 	1.415 
265.00 	1.413 
264.00 	1.411 
263.00 	1.407 
262.00 	1.397 
261.00 	1.391 
260.00 	1.385 
259.00 	1.386 
258.00 	1.390 
257.00 	1.391 
256.00 	1.393 
255.00 	1.395 
254.00 	1.398 
253.00 	1.402 
252.00 	1.403 
251.00 	1.406 
250.00 	1.406 
249.00 	1.402 
248.00 	1.396 
247.00 	1.392 
246.00 	1.387 
245.00 	1.380 
244.00 	1.374 
243.00 	1.371 
242.00 	1.362 
241.00 	1.356 
240.00 	1.345 
239.00 	1.341 
238.00 	1.330 
237.00 	1.319 
236.00 	1.311 
235.00 	1.301 
234.00 	1.291 
233.00 	1.282 
232.00 	1.273 
231.00 	1.265 
230.00 	1.255 
229.00 	1.250 
228.00 	1.236 
227.00 	1.227 
226.00 	1.216 
225.00 	1.204 
224.00 	1.191 
223.00 	1.182 
222.00 	1.171 
221.00 	1.164 
220.00 	1.152 
219.00 	1.140 
218.00 	1.125 
217.00 	1.114 
216.00 	1.093 
215.00 	1.075 
214.00 	1.055 
213.00 	1.031 
212.00 	0.997 
211.00 	0.970 
210.00 	0.927 
209.00 	0.870 
208.00 	0.801 
207.00 	0.714 
206.00 	0.593 
205.00 	0.450 
204.00 	0.278 
203.00 	0.088 
202.00 	-0.162 
201.00 	-0.412 
200.00 	-0.660 
199.00 	-0.859 
198.00 	-0.904 
197.00 	-0.894 
196.00 	-0.802 
195.00 	-0.699 
194.00 	-0.593 
193.00 	-0.425 
192.00 	-0.274 
191.00 	-0.107 
190.00 	0.081 
