nm    	Abs  
300.00 	0.383 
299.00 	0.401 
298.00 	0.420 
297.00 	0.439 
296.00 	0.459 
295.00 	0.477 
294.00 	0.496 
293.00 	0.515 
292.00 	0.535 
291.00 	0.555 
290.00 	0.578 
289.00 	0.608 
288.00 	0.644 
287.00 	0.695 
286.00 	0.772 
285.00 	0.888 
284.00 	1.069 
283.00 	1.329 
282.00 	1.696 
281.00 	2.149 
280.00 	2.573 
279.00 	2.844 
278.00 	2.929 
277.00 	2.894 
276.00 	2.738 
275.00 	2.715 
274.00 	2.894 
273.00 	3.137 
272.00 	3.085 
271.00 	3.140 
270.00 	3.177 
269.00 	3.064 
268.00 	3.115 
267.00 	3.095 
266.00 	3.149 
265.00 	3.115 
264.00 	3.071 
263.00 	3.054 
262.00 	3.051 
261.00 	3.038 
260.00 	3.070 
259.00 	2.954 
258.00 	3.088 
257.00 	3.096 
256.00 	3.123 
255.00 	3.162 
254.00 	3.192 
253.00 	3.195 
252.00 	3.125 
251.00 	3.135 
250.00 	3.184 
249.00 	3.151 
248.00 	3.163 
247.00 	3.143 
246.00 	3.140 
245.00 	3.147 
244.00 	3.150 
243.00 	3.098 
242.00 	3.078 
241.00 	3.106 
240.00 	3.116 
239.00 	3.133 
238.00 	3.065 
237.00 	3.127 
236.00 	3.065 
235.00 	3.027 
234.00 	2.999 
233.00 	3.072 
232.00 	3.206 
231.00 	3.099 
230.00 	3.133 
229.00 	3.081 
228.00 	3.127 
227.00 	3.142 
226.00 	3.576 
225.00 	3.163 
224.00 	3.186 
223.00 	3.601 
222.00 	3.373 
221.00 	3.142 
220.00 	3.162 
219.00 	3.450 
218.00 	3.224 
217.00 	3.112 
216.00 	3.547 
215.00 	3.154 
214.00 	3.228 
213.00 	2.917 
212.00 	2.765 
211.00 	2.848 
210.00 	3.190 
209.00 	2.653 
208.00 	2.576 
207.00 	2.568 
206.00 	2.427 
205.00 	2.315 
204.00 	2.143 
203.00 	2.123 
202.00 	1.930 
201.00 	9.999 
200.00 	9.999 
199.00 	9.999 
198.00 	9.999 
197.00 	9.999 
196.00 	1.099 
195.00 	1.175 
194.00 	0.902 
193.00 	0.810 
192.00 	0.746 
191.00 	0.758 
190.00 	0.763 
