nm    	Abs  
300.00 	0.381 
299.00 	0.396 
298.00 	0.412 
297.00 	0.428 
296.00 	0.444 
295.00 	0.457 
294.00 	0.471 
293.00 	0.486 
292.00 	0.499 
291.00 	0.515 
290.00 	0.533 
289.00 	0.555 
288.00 	0.582 
287.00 	0.621 
286.00 	0.678 
285.00 	0.766 
284.00 	0.904 
283.00 	1.105 
282.00 	1.390 
281.00 	1.754 
280.00 	2.127 
279.00 	2.379 
278.00 	2.419 
277.00 	2.362 
276.00 	2.286 
275.00 	2.263 
274.00 	2.333 
273.00 	2.424 
272.00 	2.458 
271.00 	2.467 
270.00 	2.462 
269.00 	2.433 
268.00 	2.420 
267.00 	2.422 
266.00 	2.426 
265.00 	2.415 
264.00 	2.426 
263.00 	2.391 
262.00 	2.385 
261.00 	2.371 
260.00 	2.350 
259.00 	2.375 
258.00 	2.375 
257.00 	2.382 
256.00 	2.415 
255.00 	2.420 
254.00 	2.443 
253.00 	2.454 
252.00 	2.450 
251.00 	2.455 
250.00 	2.462 
249.00 	2.476 
248.00 	2.492 
247.00 	2.470 
246.00 	2.466 
245.00 	2.474 
244.00 	2.472 
243.00 	2.463 
242.00 	2.465 
241.00 	2.458 
240.00 	2.447 
239.00 	2.437 
238.00 	2.433 
237.00 	2.426 
236.00 	2.413 
235.00 	2.404 
234.00 	2.401 
233.00 	2.398 
232.00 	2.383 
231.00 	2.374 
230.00 	2.376 
229.00 	2.382 
228.00 	2.408 
227.00 	2.414 
226.00 	2.408 
225.00 	2.389 
224.00 	2.389 
223.00 	2.386 
222.00 	2.422 
221.00 	2.430 
220.00 	2.422 
219.00 	2.412 
218.00 	2.391 
217.00 	2.393 
216.00 	2.371 
215.00 	2.357 
214.00 	2.334 
213.00 	2.360 
212.00 	2.278 
211.00 	2.289 
210.00 	2.203 
209.00 	2.212 
208.00 	2.056 
207.00 	1.982 
206.00 	1.845 
205.00 	1.760 
204.00 	1.585 
203.00 	1.381 
202.00 	1.134 
201.00 	0.963 
200.00 	0.678 
199.00 	0.562 
198.00 	0.437 
197.00 	0.507 
196.00 	0.450 
195.00 	0.551 
194.00 	0.563 
193.00 	0.658 
192.00 	0.626 
191.00 	0.676 
190.00 	0.689 
