nm    	Abs  
300.00 	0.578 
299.00 	0.597 
298.00 	0.619 
297.00 	0.644 
296.00 	0.675 
295.00 	0.705 
294.00 	0.736 
293.00 	0.769 
292.00 	0.803 
291.00 	0.839 
290.00 	0.881 
289.00 	0.928 
288.00 	0.991 
287.00 	1.086 
286.00 	1.231 
285.00 	1.447 
284.00 	1.745 
283.00 	2.097 
282.00 	2.405 
281.00 	2.561 
280.00 	2.611 
279.00 	2.631 
278.00 	2.640 
277.00 	2.625 
276.00 	2.632 
275.00 	2.636 
274.00 	2.645 
273.00 	2.647 
272.00 	2.638 
271.00 	2.650 
270.00 	2.653 
269.00 	2.658 
268.00 	2.631 
267.00 	2.636 
266.00 	2.639 
265.00 	2.630 
264.00 	2.646 
263.00 	2.641 
262.00 	2.634 
261.00 	2.648 
260.00 	2.641 
259.00 	2.633 
258.00 	2.631 
257.00 	2.646 
256.00 	2.646 
255.00 	2.657 
254.00 	2.635 
253.00 	2.643 
252.00 	2.651 
251.00 	2.705 
250.00 	2.726 
249.00 	2.706 
248.00 	2.699 
247.00 	2.684 
246.00 	2.688 
245.00 	2.678 
244.00 	2.663 
243.00 	2.667 
242.00 	2.658 
241.00 	2.671 
240.00 	2.647 
239.00 	2.643 
238.00 	2.616 
237.00 	2.633 
236.00 	2.627 
235.00 	2.616 
234.00 	2.629 
233.00 	2.613 
232.00 	2.599 
231.00 	2.615 
230.00 	2.595 
229.00 	2.603 
228.00 	2.615 
227.00 	2.593 
226.00 	2.607 
225.00 	2.674 
224.00 	2.658 
223.00 	2.677 
222.00 	2.684 
221.00 	2.708 
220.00 	2.670 
219.00 	2.770 
218.00 	2.672 
217.00 	2.653 
216.00 	2.653 
215.00 	2.671 
214.00 	2.627 
213.00 	2.633 
212.00 	2.557 
211.00 	2.547 
210.00 	2.473 
209.00 	2.562 
208.00 	2.349 
207.00 	2.290 
206.00 	2.229 
205.00 	2.138 
204.00 	1.934 
203.00 	1.725 
202.00 	1.677 
201.00 	1.406 
200.00 	1.704 
199.00 	1.022 
198.00 	1.444 
197.00 	1.100 
196.00 	0.986 
195.00 	0.963 
194.00 	0.856 
193.00 	0.849 
192.00 	0.888 
191.00 	0.851 
190.00 	0.854 
