nm    	Abs   
300.00 	0.355 
299.00 	0.366 
298.00 	0.378 
297.00 	0.389 
296.00 	0.402 
295.00 	0.413 
294.00 	0.423 
293.00 	0.433 
292.00 	0.443 
291.00 	0.454 
290.00 	0.465 
289.00 	0.477 
288.00 	0.493 
287.00 	0.512 
286.00 	0.540 
285.00 	0.581 
284.00 	0.645 
283.00 	0.735 
282.00 	0.862 
281.00 	1.007 
280.00 	1.152 
279.00 	1.245 
278.00 	1.278 
277.00 	1.277 
276.00 	1.276 
275.00 	1.281 
274.00 	1.294 
273.00 	1.302 
272.00 	1.304 
271.00 	1.302 
270.00 	1.302 
269.00 	1.301 
268.00 	1.303 
267.00 	1.304 
266.00 	1.302 
265.00 	1.302 
264.00 	1.298 
263.00 	1.298 
262.00 	1.294 
261.00 	1.294 
260.00 	1.291 
259.00 	1.289 
258.00 	1.284 
257.00 	1.285 
256.00 	1.278 
255.00 	1.281 
254.00 	1.280 
253.00 	1.281 
252.00 	1.278 
251.00 	1.276 
250.00 	1.273 
249.00 	1.271 
248.00 	1.266 
247.00 	1.266 
246.00 	1.257 
245.00 	1.253 
244.00 	1.245 
243.00 	1.241 
242.00 	1.232 
241.00 	1.225 
240.00 	1.217 
239.00 	1.209 
238.00 	1.201 
237.00 	1.193 
236.00 	1.185 
235.00 	1.174 
234.00 	1.168 
233.00 	1.157 
232.00 	1.149 
231.00 	1.140 
230.00 	1.135 
229.00 	1.123 
228.00 	1.116 
227.00 	1.102 
226.00 	1.093 
225.00 	1.079 
224.00 	1.072 
223.00 	1.058 
222.00 	1.052 
221.00 	1.039 
220.00 	1.030 
219.00 	1.018 
218.00 	1.009 
217.00 	0.992 
216.00 	0.977 
215.00 	0.956 
214.00 	0.935 
213.00 	0.910 
212.00 	0.878 
211.00 	0.843 
210.00 	0.800 
209.00 	0.745 
208.00 	0.675 
207.00 	0.585 
206.00 	0.455 
205.00 	0.308 
204.00 	0.129 
203.00 	-0.080 
202.00 	-0.334 
201.00 	-0.600 
200.00 	-0.839 
199.00 	-1.018 
198.00 	-1.089 
197.00 	-1.059 
196.00 	-1.006 
195.00 	-0.863 
194.00 	-0.767 
193.00 	-0.610 
192.00 	-0.452 
191.00 	-0.280 
190.00 	-0.085 
