nm    	Abs   
300.00 	0.025 
299.00 	0.025 
298.00 	0.025 
297.00 	0.024 
296.00 	0.025 
295.00 	0.024 
294.00 	0.025 
293.00 	0.024 
292.00 	0.024 
291.00 	0.023 
290.00 	0.023 
289.00 	0.022 
288.00 	0.022 
287.00 	0.021 
286.00 	0.020 
285.00 	0.019 
284.00 	0.019 
283.00 	0.019 
282.00 	0.019 
281.00 	0.020 
280.00 	0.022 
279.00 	0.024 
278.00 	0.023 
277.00 	0.022 
276.00 	0.021 
275.00 	0.020 
274.00 	0.021 
273.00 	0.022 
272.00 	0.023 
271.00 	0.023 
270.00 	0.022 
269.00 	0.022 
268.00 	0.021 
267.00 	0.021 
266.00 	0.020 
265.00 	0.020 
264.00 	0.019 
263.00 	0.019 
262.00 	0.018 
261.00 	0.017 
260.00 	0.016 
259.00 	0.015 
258.00 	0.013 
257.00 	0.013 
256.00 	0.010 
255.00 	0.010 
254.00 	0.008 
253.00 	0.006 
252.00 	0.004 
251.00 	0.002 
250.00 	-0.002 
249.00 	-0.005 
248.00 	-0.009 
247.00 	-0.012 
246.00 	-0.017 
245.00 	-0.022 
244.00 	-0.028 
243.00 	-0.035 
242.00 	-0.042 
241.00 	-0.050 
240.00 	-0.058 
239.00 	-0.065 
238.00 	-0.074 
237.00 	-0.083 
236.00 	-0.092 
235.00 	-0.102 
234.00 	-0.112 
233.00 	-0.122 
232.00 	-0.132 
231.00 	-0.142 
230.00 	-0.150 
229.00 	-0.160 
228.00 	-0.172 
227.00 	-0.184 
226.00 	-0.195 
225.00 	-0.208 
224.00 	-0.218 
223.00 	-0.229 
222.00 	-0.239 
221.00 	-0.248 
220.00 	-0.257 
219.00 	-0.267 
218.00 	-0.277 
217.00 	-0.287 
216.00 	-0.300 
215.00 	-0.315 
214.00 	-0.331 
213.00 	-0.350 
212.00 	-0.375 
211.00 	-0.402 
210.00 	-0.437 
209.00 	-0.485 
208.00 	-0.548 
207.00 	-0.630 
206.00 	-0.749 
205.00 	-0.894 
204.00 	-1.061 
203.00 	-1.266 
202.00 	-1.512 
201.00 	-1.774 
200.00 	-2.007 
199.00 	-2.181 
198.00 	-2.239 
197.00 	-2.198 
196.00 	-2.126 
195.00 	-1.967 
194.00 	-1.841 
193.00 	-1.668 
192.00 	-1.462 
191.00 	-1.260 
190.00 	-1.018 
