nm    	Abs  
300.00 	0.164 
299.00 	0.172 
298.00 	0.180 
297.00 	0.189 
296.00 	0.198 
295.00 	0.206 
294.00 	0.216 
293.00 	0.225 
292.00 	0.233 
291.00 	0.243 
290.00 	0.253 
289.00 	0.266 
288.00 	0.284 
287.00 	0.310 
286.00 	0.353 
285.00 	0.419 
284.00 	0.525 
283.00 	0.682 
282.00 	0.910 
281.00 	1.209 
280.00 	1.601 
279.00 	1.996 
278.00 	1.944 
277.00 	1.604 
276.00 	1.435 
275.00 	1.499 
274.00 	1.759 
273.00 	2.074 
272.00 	2.199 
271.00 	2.092 
270.00 	1.945 
269.00 	1.846 
268.00 	1.802 
267.00 	1.791 
266.00 	1.792 
265.00 	1.772 
264.00 	1.733 
263.00 	1.672 
262.00 	1.629 
261.00 	1.603 
260.00 	1.601 
259.00 	1.616 
258.00 	1.642 
257.00 	1.679 
256.00 	1.729 
255.00 	1.807 
254.00 	1.922 
253.00 	2.063 
252.00 	2.175 
251.00 	2.257 
250.00 	2.304 
249.00 	2.322 
248.00 	2.330 
247.00 	2.347 
246.00 	2.404 
245.00 	2.425 
244.00 	2.438 
243.00 	2.444 
242.00 	2.408 
241.00 	2.398 
240.00 	2.357 
239.00 	2.297 
238.00 	2.270 
237.00 	2.241 
236.00 	2.228 
235.00 	2.218 
234.00 	2.208 
233.00 	2.222 
232.00 	2.243 
231.00 	2.323 
230.00 	2.371 
229.00 	2.459 
228.00 	2.567 
227.00 	2.647 
226.00 	2.734 
225.00 	2.819 
224.00 	3.011 
223.00 	3.010 
222.00 	3.213 
221.00 	3.076 
220.00 	2.999 
219.00 	3.114 
218.00 	3.042 
217.00 	2.897 
216.00 	2.884 
215.00 	2.951 
214.00 	2.795 
213.00 	2.811 
212.00 	2.725 
211.00 	2.717 
210.00 	2.544 
209.00 	2.487 
208.00 	2.541 
207.00 	2.428 
206.00 	2.262 
205.00 	2.149 
204.00 	2.007 
203.00 	1.824 
202.00 	1.688 
201.00 	1.652 
200.00 	1.823 
199.00 	1.929 
198.00 	1.653 
197.00 	1.100 
196.00 	1.126 
195.00 	0.780 
194.00 	0.854 
193.00 	0.803 
192.00 	0.669 
191.00 	0.661 
190.00 	0.606 
