nm    	Abs   
600.00 	0.064 
599.00 	0.065 
598.00 	0.066 
597.00 	0.065 
596.00 	0.066 
595.00 	0.065 
594.00 	0.066 
593.00 	0.065 
592.00 	0.067 
591.00 	0.066 
590.00 	0.067 
589.00 	0.067 
588.00 	0.067 
587.00 	0.066 
586.00 	0.068 
585.00 	0.067 
584.00 	0.068 
583.00 	0.067 
582.00 	0.069 
581.00 	0.068 
580.00 	0.068 
579.00 	0.069 
578.00 	0.069 
577.00 	0.069 
576.00 	0.069 
575.00 	0.070 
574.00 	0.069 
573.00 	0.070 
572.00 	0.070 
571.00 	0.071 
570.00 	0.071 
569.00 	0.071 
568.00 	0.071 
567.00 	0.072 
566.00 	0.072 
565.00 	0.072 
564.00 	0.073 
563.00 	0.074 
562.00 	0.073 
561.00 	0.074 
560.00 	0.074 
559.00 	0.075 
558.00 	0.074 
557.00 	0.076 
556.00 	0.076 
555.00 	0.076 
554.00 	0.076 
553.00 	0.077 
552.00 	0.077 
551.00 	0.078 
550.00 	0.079 
549.00 	0.079 
548.00 	0.079 
547.00 	0.080 
546.00 	0.080 
545.00 	0.081 
544.00 	0.081 
543.00 	0.082 
542.00 	0.082 
541.00 	0.083 
540.00 	0.084 
539.00 	0.084 
538.00 	0.085 
537.00 	0.086 
536.00 	0.086 
535.00 	0.087 
534.00 	0.088 
533.00 	0.088 
532.00 	0.089 
531.00 	0.090 
530.00 	0.091 
529.00 	0.090 
528.00 	0.092 
527.00 	0.093 
526.00 	0.093 
525.00 	0.093 
524.00 	0.095 
523.00 	0.094 
522.00 	0.096 
521.00 	0.096 
520.00 	0.097 
519.00 	0.096 
518.00 	0.098 
517.00 	0.098 
516.00 	0.099 
515.00 	0.099 
514.00 	0.101 
513.00 	0.101 
512.00 	0.101 
511.00 	0.102 
510.00 	0.103 
509.00 	0.102 
508.00 	0.103 
507.00 	0.104 
506.00 	0.104 
505.00 	0.104 
504.00 	0.106 
503.00 	0.106 
502.00 	0.106 
501.00 	0.106 
500.00 	0.107 
499.00 	0.107 
498.00 	0.107 
497.00 	0.108 
496.00 	0.109 
495.00 	0.109 
494.00 	0.110 
493.00 	0.109 
492.00 	0.110 
491.00 	0.110 
490.00 	0.111 
489.00 	0.110 
488.00 	0.112 
487.00 	0.111 
486.00 	0.112 
485.00 	0.112 
484.00 	0.113 
483.00 	0.112 
482.00 	0.113 
481.00 	0.112 
480.00 	0.113 
479.00 	0.112 
478.00 	0.113 
477.00 	0.113 
476.00 	0.114 
475.00 	0.113 
474.00 	0.114 
473.00 	0.113 
472.00 	0.114 
471.00 	0.114 
470.00 	0.114 
469.00 	0.114 
468.00 	0.114 
467.00 	0.114 
466.00 	0.114 
465.00 	0.114 
464.00 	0.115 
463.00 	0.114 
462.00 	0.114 
461.00 	0.115 
460.00 	0.114 
459.00 	0.115 
458.00 	0.115 
457.00 	0.116 
456.00 	0.115 
455.00 	0.116 
454.00 	0.116 
453.00 	0.116 
452.00 	0.117 
451.00 	0.116 
450.00 	0.117 
449.00 	0.116 
448.00 	0.117 
447.00 	0.117 
446.00 	0.117 
445.00 	0.116 
444.00 	0.117 
443.00 	0.116 
442.00 	0.117 
441.00 	0.116 
440.00 	0.117 
439.00 	0.116 
438.00 	0.118 
437.00 	0.117 
436.00 	0.117 
435.00 	0.117 
434.00 	0.117 
433.00 	0.117 
432.00 	0.117 
431.00 	0.117 
430.00 	0.117 
429.00 	0.117 
428.00 	0.117 
427.00 	0.116 
426.00 	0.117 
425.00 	0.117 
424.00 	0.118 
423.00 	0.117 
422.00 	0.117 
421.00 	0.117 
420.00 	0.117 
419.00 	0.118 
418.00 	0.117 
417.00 	0.118 
416.00 	0.118 
415.00 	0.118 
414.00 	0.118 
413.00 	0.118 
412.00 	0.118 
411.00 	0.119 
410.00 	0.119 
409.00 	0.120 
408.00 	0.120 
407.00 	0.120 
406.00 	0.120 
405.00 	0.121 
404.00 	0.121 
403.00 	0.122 
402.00 	0.122 
401.00 	0.122 
400.00 	0.123 
399.00 	0.123 
398.00 	0.124 
397.00 	0.124 
396.00 	0.125 
395.00 	0.126 
394.00 	0.126 
393.00 	0.127 
392.00 	0.127 
391.00 	0.128 
390.00 	0.128 
389.00 	0.130 
388.00 	0.131 
387.00 	0.132 
386.00 	0.133 
385.00 	0.135 
384.00 	0.136 
383.00 	0.137 
382.00 	0.139 
381.00 	0.140 
380.00 	0.141 
379.00 	0.144 
378.00 	0.145 
377.00 	0.147 
376.00 	0.149 
375.00 	0.150 
374.00 	0.151 
373.00 	0.153 
372.00 	0.155 
371.00 	0.156 
370.00 	0.157 
369.00 	0.158 
368.00 	0.159 
367.00 	0.160 
366.00 	0.162 
365.00 	0.162 
364.00 	0.164 
363.00 	0.165 
362.00 	0.166 
361.00 	0.182 
360.00 	0.184 
359.00 	0.184 
358.00 	0.185 
357.00 	0.185 
356.00 	0.186 
355.00 	0.187 
354.00 	0.188 
353.00 	0.189 
352.00 	0.189 
351.00 	0.189 
350.00 	0.191 
349.00 	0.190 
348.00 	0.191 
347.00 	0.192 
346.00 	0.193 
345.00 	0.194 
344.00 	0.195 
343.00 	0.196 
342.00 	0.198 
341.00 	0.198 
340.00 	0.200 
339.00 	0.201 
338.00 	0.202 
337.00 	0.203 
336.00 	0.205 
335.00 	0.206 
334.00 	0.207 
333.00 	0.208 
332.00 	0.210 
331.00 	0.211 
330.00 	0.213 
329.00 	0.215 
328.00 	0.217 
327.00 	0.219 
326.00 	0.222 
325.00 	0.224 
324.00 	0.226 
323.00 	0.228 
322.00 	0.230 
321.00 	0.232 
320.00 	0.234 
319.00 	0.236 
318.00 	0.239 
317.00 	0.241 
316.00 	0.244 
315.00 	0.246 
314.00 	0.248 
313.00 	0.251 
312.00 	0.253 
311.00 	0.255 
310.00 	0.257 
309.00 	0.259 
308.00 	0.262 
307.00 	0.264 
306.00 	0.268 
305.00 	0.272 
304.00 	0.277 
303.00 	0.283 
302.00 	0.289 
301.00 	0.297 
300.00 	0.304 
299.00 	0.313 
298.00 	0.323 
297.00 	0.333 
296.00 	0.345 
295.00 	0.358 
294.00 	0.371 
293.00 	0.386 
292.00 	0.400 
291.00 	0.416 
290.00 	0.433 
289.00 	0.453 
288.00 	0.479 
287.00 	0.518 
286.00 	0.582 
285.00 	0.681 
284.00 	0.828 
283.00 	1.034 
282.00 	1.294 
281.00 	1.557 
280.00 	1.736 
279.00 	1.793 
278.00 	1.747 
277.00 	1.633 
276.00 	1.600 
275.00 	1.680 
274.00 	1.776 
273.00 	1.816 
272.00 	1.822 
271.00 	1.807 
270.00 	1.783 
269.00 	1.772 
268.00 	1.769 
267.00 	1.770 
266.00 	1.766 
265.00 	1.761 
264.00 	1.744 
263.00 	1.731 
262.00 	1.719 
261.00 	1.706 
260.00 	1.707 
259.00 	1.716 
258.00 	1.724 
257.00 	1.731 
256.00 	1.744 
255.00 	1.759 
254.00 	1.782 
253.00 	1.790 
252.00 	1.797 
251.00 	1.801 
250.00 	1.796 
249.00 	1.797 
248.00 	1.799 
247.00 	1.791 
246.00 	1.792 
245.00 	1.786 
244.00 	1.780 
243.00 	1.772 
242.00 	1.765 
241.00 	1.754 
240.00 	1.748 
239.00 	1.739 
238.00 	1.730 
237.00 	1.719 
236.00 	1.710 
235.00 	1.700 
234.00 	1.699 
233.00 	1.687 
232.00 	1.679 
231.00 	1.668 
230.00 	1.662 
229.00 	1.650 
228.00 	1.645 
227.00 	1.632 
226.00 	1.631 
225.00 	1.617 
224.00 	1.614 
223.00 	1.602 
222.00 	1.595 
221.00 	1.591 
220.00 	1.580 
219.00 	1.569 
