nm    	Abs  
300.00 	0.615 
299.00 	0.642 
298.00 	0.669 
297.00 	0.697 
296.00 	0.723 
295.00 	0.749 
294.00 	0.774 
293.00 	0.799 
292.00 	0.825 
291.00 	0.853 
290.00 	0.885 
289.00 	0.923 
288.00 	0.972 
287.00 	1.039 
286.00 	1.139 
285.00 	1.285 
284.00 	1.499 
283.00 	1.782 
282.00 	2.103 
281.00 	2.329 
280.00 	2.444 
279.00 	2.477 
278.00 	2.482 
277.00 	2.477 
276.00 	2.478 
275.00 	2.476 
274.00 	2.480 
273.00 	2.490 
272.00 	2.521 
271.00 	2.501 
270.00 	2.489 
269.00 	2.489 
268.00 	2.488 
267.00 	2.505 
266.00 	2.513 
265.00 	2.515 
264.00 	2.498 
263.00 	2.516 
262.00 	2.515 
261.00 	2.492 
260.00 	2.493 
259.00 	2.511 
258.00 	2.508 
257.00 	2.499 
256.00 	2.500 
255.00 	2.513 
254.00 	2.503 
253.00 	2.509 
252.00 	2.504 
251.00 	2.502 
250.00 	2.495 
249.00 	2.497 
248.00 	2.495 
247.00 	2.487 
246.00 	2.481 
245.00 	2.476 
244.00 	2.470 
243.00 	2.466 
242.00 	2.457 
241.00 	2.447 
240.00 	2.446 
239.00 	2.440 
238.00 	2.435 
237.00 	2.416 
236.00 	2.414 
235.00 	2.409 
234.00 	2.403 
233.00 	2.389 
232.00 	2.375 
231.00 	2.380 
230.00 	2.390 
229.00 	2.392 
228.00 	2.399 
227.00 	2.389 
226.00 	2.400 
225.00 	2.399 
224.00 	2.423 
223.00 	2.438 
222.00 	2.416 
221.00 	2.425 
220.00 	2.424 
219.00 	2.404 
218.00 	2.390 
217.00 	2.381 
216.00 	2.362 
215.00 	2.353 
214.00 	2.342 
213.00 	2.302 
212.00 	2.268 
211.00 	2.238 
210.00 	2.244 
209.00 	2.198 
208.00 	2.068 
207.00 	2.005 
206.00 	1.931 
205.00 	1.734 
204.00 	1.655 
203.00 	1.389 
202.00 	1.205 
201.00 	1.022 
200.00 	0.805 
199.00 	0.677 
198.00 	0.520 
197.00 	0.617 
196.00 	0.679 
195.00 	0.724 
194.00 	0.686 
193.00 	0.718 
192.00 	0.722 
191.00 	0.767 
190.00 	0.764 
