nm    	Abs   
300.00 	0.352 
299.00 	0.364 
298.00 	0.376 
297.00 	0.388 
296.00 	0.400 
295.00 	0.411 
294.00 	0.422 
293.00 	0.433 
292.00 	0.444 
291.00 	0.457 
290.00 	0.471 
289.00 	0.488 
288.00 	0.509 
287.00 	0.539 
286.00 	0.584 
285.00 	0.652 
284.00 	0.756 
283.00 	0.901 
282.00 	1.095 
281.00 	1.302 
280.00 	1.470 
279.00 	1.545 
278.00 	1.564 
277.00 	1.542 
276.00 	1.511 
275.00 	1.500 
274.00 	1.528 
273.00 	1.562 
272.00 	1.573 
271.00 	1.577 
270.00 	1.567 
269.00 	1.563 
268.00 	1.558 
267.00 	1.556 
266.00 	1.555 
265.00 	1.553 
264.00 	1.548 
263.00 	1.540 
262.00 	1.531 
261.00 	1.527 
260.00 	1.522 
259.00 	1.524 
258.00 	1.521 
257.00 	1.527 
256.00 	1.527 
255.00 	1.536 
254.00 	1.540 
253.00 	1.545 
252.00 	1.545 
251.00 	1.548 
250.00 	1.543 
249.00 	1.541 
248.00 	1.536 
247.00 	1.535 
246.00 	1.527 
245.00 	1.518 
244.00 	1.516 
243.00 	1.506 
242.00 	1.501 
241.00 	1.491 
240.00 	1.485 
239.00 	1.470 
238.00 	1.464 
237.00 	1.451 
236.00 	1.443 
235.00 	1.430 
234.00 	1.422 
233.00 	1.409 
232.00 	1.400 
231.00 	1.388 
230.00 	1.382 
229.00 	1.371 
228.00 	1.366 
227.00 	1.353 
226.00 	1.348 
225.00 	1.332 
224.00 	1.325 
223.00 	1.318 
222.00 	1.310 
221.00 	1.305 
220.00 	1.295 
219.00 	1.289 
218.00 	1.277 
217.00 	1.271 
216.00 	1.260 
215.00 	1.245 
214.00 	1.228 
213.00 	1.208 
212.00 	1.175 
211.00 	1.141 
210.00 	1.099 
209.00 	1.048 
208.00 	0.977 
207.00 	0.891 
206.00 	0.761 
205.00 	0.615 
204.00 	0.445 
203.00 	0.236 
202.00 	-0.016 
201.00 	-0.286 
200.00 	-0.524 
199.00 	-0.703 
198.00 	-0.830 
197.00 	-0.802 
196.00 	-0.693 
195.00 	-0.593 
194.00 	-0.478 
193.00 	-0.337 
192.00 	-0.217 
191.00 	-0.071 
190.00 	0.109 
