nm    	Abs  
300.00 	0.526 
299.00 	0.549 
298.00 	0.575 
297.00 	0.601 
296.00 	0.626 
295.00 	0.652 
294.00 	0.677 
293.00 	0.701 
292.00 	0.728 
291.00 	0.755 
290.00 	0.787 
289.00 	0.825 
288.00 	0.874 
287.00 	0.943 
286.00 	1.046 
285.00 	1.197 
284.00 	1.428 
283.00 	1.753 
282.00 	2.179 
281.00 	2.598 
280.00 	2.919 
279.00 	2.999 
278.00 	3.006 
277.00 	3.006 
276.00 	3.026 
275.00 	3.028 
274.00 	3.029 
273.00 	3.168 
272.00 	3.074 
271.00 	3.066 
270.00 	3.055 
269.00 	3.067 
268.00 	3.148 
267.00 	3.139 
266.00 	3.246 
265.00 	3.200 
264.00 	3.148 
263.00 	3.215 
262.00 	3.184 
261.00 	3.117 
260.00 	3.167 
259.00 	3.095 
258.00 	3.234 
257.00 	3.191 
256.00 	3.188 
255.00 	3.080 
254.00 	3.174 
253.00 	3.170 
252.00 	3.102 
251.00 	3.228 
250.00 	3.162 
249.00 	3.174 
248.00 	3.162 
247.00 	3.137 
246.00 	3.154 
245.00 	3.189 
244.00 	3.140 
243.00 	3.127 
242.00 	3.123 
241.00 	3.062 
240.00 	3.071 
239.00 	3.038 
238.00 	3.103 
237.00 	3.069 
236.00 	3.051 
235.00 	3.079 
234.00 	3.006 
233.00 	3.072 
232.00 	3.057 
231.00 	3.073 
230.00 	3.113 
229.00 	3.116 
228.00 	3.108 
227.00 	3.159 
226.00 	3.147 
225.00 	3.149 
224.00 	3.212 
223.00 	3.253 
222.00 	3.204 
221.00 	3.293 
220.00 	3.272 
219.00 	3.156 
218.00 	3.215 
217.00 	3.143 
216.00 	3.039 
215.00 	3.090 
214.00 	2.955 
213.00 	3.005 
212.00 	2.808 
211.00 	2.849 
210.00 	2.717 
209.00 	2.631 
208.00 	2.552 
207.00 	2.507 
206.00 	2.397 
205.00 	2.487 
204.00 	2.413 
203.00 	2.450 
202.00 	2.097 
201.00 	9.999 
200.00 	2.328 
199.00 	9.999 
198.00 	9.999 
197.00 	9.999 
196.00 	9.999 
195.00 	1.722 
194.00 	1.263 
193.00 	1.085 
192.00 	0.934 
191.00 	0.925 
190.00 	0.819 
