nm    	Abs   
300.00 	0.743 
299.00 	0.765 
298.00 	0.789 
297.00 	0.815 
296.00 	0.840 
295.00 	0.867 
294.00 	0.895 
293.00 	0.927 
292.00 	0.959 
291.00 	0.994 
290.00 	1.029 
289.00 	1.069 
288.00 	1.112 
287.00 	1.167 
286.00 	1.229 
285.00 	1.303 
284.00 	1.371 
283.00 	1.420 
282.00 	1.443 
281.00 	1.457 
280.00 	1.463 
279.00 	1.470 
278.00 	1.470 
277.00 	1.461 
276.00 	1.457 
275.00 	1.461 
274.00 	1.469 
273.00 	1.469 
272.00 	1.473 
271.00 	1.471 
270.00 	1.470 
269.00 	1.467 
268.00 	1.467 
267.00 	1.465 
266.00 	1.463 
265.00 	1.461 
264.00 	1.463 
263.00 	1.457 
262.00 	1.456 
261.00 	1.451 
260.00 	1.453 
259.00 	1.450 
258.00 	1.452 
257.00 	1.447 
256.00 	1.450 
255.00 	1.446 
254.00 	1.450 
253.00 	1.443 
252.00 	1.447 
251.00 	1.442 
250.00 	1.440 
249.00 	1.435 
248.00 	1.430 
247.00 	1.424 
246.00 	1.420 
245.00 	1.415 
244.00 	1.407 
243.00 	1.399 
242.00 	1.391 
241.00 	1.383 
240.00 	1.373 
239.00 	1.363 
238.00 	1.354 
237.00 	1.343 
236.00 	1.330 
235.00 	1.322 
234.00 	1.310 
233.00 	1.303 
232.00 	1.289 
231.00 	1.281 
230.00 	1.272 
229.00 	1.266 
228.00 	1.250 
227.00 	1.242 
226.00 	1.233 
225.00 	1.224 
224.00 	1.216 
223.00 	1.213 
222.00 	1.204 
221.00 	1.202 
220.00 	1.198 
219.00 	1.198 
218.00 	1.191 
217.00 	1.188 
216.00 	1.180 
215.00 	1.177 
214.00 	1.164 
213.00 	1.151 
212.00 	1.139 
211.00 	1.121 
210.00 	1.092 
209.00 	1.054 
208.00 	0.996 
207.00 	0.917 
206.00 	0.805 
205.00 	0.668 
204.00 	0.508 
203.00 	0.316 
202.00 	0.071 
201.00 	-0.193 
200.00 	-0.420 
199.00 	-0.590 
198.00 	-0.708 
197.00 	-0.677 
196.00 	-0.552 
195.00 	-0.435 
194.00 	-0.299 
193.00 	-0.169 
192.00 	-0.036 
191.00 	0.134 
190.00 	0.320 
