nm    	Abs  
300.00 	0.167 
299.00 	0.174 
298.00 	0.183 
297.00 	0.191 
296.00 	0.198 
295.00 	0.206 
294.00 	0.214 
293.00 	0.222 
292.00 	0.230 
291.00 	0.239 
290.00 	0.249 
289.00 	0.261 
288.00 	0.276 
287.00 	0.298 
286.00 	0.332 
285.00 	0.385 
284.00 	0.465 
283.00 	0.591 
282.00 	0.771 
281.00 	1.033 
280.00 	1.389 
279.00 	1.810 
278.00 	1.938 
277.00 	1.625 
276.00 	1.406 
275.00 	1.382 
274.00 	1.544 
273.00 	1.829 
272.00 	2.053 
271.00 	2.044 
270.00 	1.893 
269.00 	1.770 
268.00 	1.712 
267.00 	1.697 
266.00 	1.690 
265.00 	1.685 
264.00 	1.656 
263.00 	1.607 
262.00 	1.558 
261.00 	1.522 
260.00 	1.506 
259.00 	1.516 
258.00 	1.538 
257.00 	1.565 
256.00 	1.606 
255.00 	1.667 
254.00 	1.757 
253.00 	1.872 
252.00 	1.998 
251.00 	2.102 
250.00 	2.177 
249.00 	2.209 
248.00 	2.238 
247.00 	2.234 
246.00 	2.261 
245.00 	2.291 
244.00 	2.316 
243.00 	2.310 
242.00 	2.301 
241.00 	2.270 
240.00 	2.248 
239.00 	2.204 
238.00 	2.165 
237.00 	2.127 
236.00 	2.116 
235.00 	2.100 
234.00 	2.086 
233.00 	2.083 
232.00 	2.108 
231.00 	2.137 
230.00 	2.204 
229.00 	2.283 
228.00 	2.394 
227.00 	2.510 
226.00 	2.677 
225.00 	2.898 
224.00 	3.016 
223.00 	2.988 
222.00 	2.992 
221.00 	3.006 
220.00 	3.215 
219.00 	3.058 
218.00 	3.080 
217.00 	2.928 
216.00 	2.884 
215.00 	3.031 
214.00 	2.792 
213.00 	2.806 
212.00 	2.821 
211.00 	2.663 
210.00 	2.636 
209.00 	2.593 
208.00 	2.556 
207.00 	2.512 
206.00 	2.345 
205.00 	2.193 
204.00 	2.074 
203.00 	1.969 
202.00 	1.971 
201.00 	1.477 
200.00 	1.142 
199.00 	1.890 
198.00 	1.922 
197.00 	0.946 
196.00 	1.016 
195.00 	1.006 
194.00 	0.788 
193.00 	0.772 
192.00 	0.688 
191.00 	0.646 
190.00 	0.662 
