nm    	Abs  
300.00 	0.378 
299.00 	0.377 
298.00 	0.378 
297.00 	0.378 
296.00 	0.378 
295.00 	0.379 
294.00 	0.380 
293.00 	0.381 
292.00 	0.383 
291.00 	0.384 
290.00 	0.386 
289.00 	0.389 
288.00 	0.392 
287.00 	0.394 
286.00 	0.398 
285.00 	0.401 
284.00 	0.406 
283.00 	0.410 
282.00 	0.415 
281.00 	0.421 
280.00 	0.427 
279.00 	0.432 
278.00 	0.437 
277.00 	0.442 
276.00 	0.448 
275.00 	0.453 
274.00 	0.460 
273.00 	0.467 
272.00 	0.474 
271.00 	0.481 
270.00 	0.489 
269.00 	0.498 
268.00 	0.509 
267.00 	0.520 
266.00 	0.532 
265.00 	0.546 
264.00 	0.560 
263.00 	0.577 
262.00 	0.595 
261.00 	0.614 
260.00 	0.636 
259.00 	0.658 
258.00 	0.681 
257.00 	0.705 
256.00 	0.729 
255.00 	0.754 
254.00 	0.780 
253.00 	0.806 
252.00 	0.834 
251.00 	0.861 
250.00 	0.888 
249.00 	0.916 
248.00 	0.946 
247.00 	0.977 
246.00 	1.008 
245.00 	1.043 
244.00 	1.082 
243.00 	1.124 
242.00 	1.177 
241.00 	1.234 
240.00 	1.300 
239.00 	1.374 
238.00 	1.458 
237.00 	1.554 
236.00 	1.660 
235.00 	1.782 
234.00 	1.912 
233.00 	2.055 
232.00 	2.204 
231.00 	2.311 
230.00 	2.415 
229.00 	2.485 
228.00 	2.514 
227.00 	2.559 
226.00 	2.561 
225.00 	2.569 
224.00 	2.598 
223.00 	2.651 
222.00 	2.594 
221.00 	2.647 
220.00 	2.636 
219.00 	2.613 
218.00 	2.625 
217.00 	2.592 
216.00 	2.746 
215.00 	2.617 
214.00 	2.632 
213.00 	2.584 
212.00 	2.643 
211.00 	2.601 
210.00 	2.573 
209.00 	2.538 
208.00 	2.413 
207.00 	2.407 
206.00 	2.420 
205.00 	2.180 
204.00 	1.961 
203.00 	1.860 
202.00 	1.896 
201.00 	1.748 
200.00 	1.200 
199.00 	1.783 
198.00 	0.964 
197.00 	1.118 
196.00 	0.930 
195.00 	0.856 
194.00 	0.844 
193.00 	0.641 
192.00 	0.614 
191.00 	0.645 
190.00 	0.643 
