nm    	Abs   
300.00 	0.812 
299.00 	0.811 
298.00 	0.812 
297.00 	0.811 
296.00 	0.812 
295.00 	0.813 
294.00 	0.815 
293.00 	0.817 
292.00 	0.820 
291.00 	0.824 
290.00 	0.828 
289.00 	0.834 
288.00 	0.839 
287.00 	0.846 
286.00 	0.854 
285.00 	0.862 
284.00 	0.871 
283.00 	0.879 
282.00 	0.888 
281.00 	0.899 
280.00 	0.911 
279.00 	0.921 
278.00 	0.931 
277.00 	0.941 
276.00 	0.951 
275.00 	0.961 
274.00 	0.974 
273.00 	0.988 
272.00 	1.002 
271.00 	1.017 
270.00 	1.033 
269.00 	1.050 
268.00 	1.067 
267.00 	1.088 
266.00 	1.108 
265.00 	1.130 
264.00 	1.155 
263.00 	1.184 
262.00 	1.211 
261.00 	1.243 
260.00 	1.276 
259.00 	1.309 
258.00 	1.343 
257.00 	1.377 
256.00 	1.410 
255.00 	1.441 
254.00 	1.469 
253.00 	1.503 
252.00 	1.531 
251.00 	1.556 
250.00 	1.578 
249.00 	1.595 
248.00 	1.609 
247.00 	1.626 
246.00 	1.635 
245.00 	1.648 
244.00 	1.648 
243.00 	1.653 
242.00 	1.653 
241.00 	1.657 
240.00 	1.652 
239.00 	1.648 
238.00 	1.641 
237.00 	1.638 
236.00 	1.632 
235.00 	1.632 
234.00 	1.620 
233.00 	1.621 
232.00 	1.612 
231.00 	1.604 
230.00 	1.598 
229.00 	1.590 
228.00 	1.581 
227.00 	1.578 
226.00 	1.567 
225.00 	1.560 
224.00 	1.546 
223.00 	1.539 
222.00 	1.535 
221.00 	1.527 
220.00 	1.509 
219.00 	1.506 
218.00 	1.489 
217.00 	1.476 
216.00 	1.463 
215.00 	1.444 
214.00 	1.424 
213.00 	1.413 
212.00 	1.388 
211.00 	1.356 
210.00 	1.318 
209.00 	1.275 
208.00 	1.212 
207.00 	1.136 
206.00 	1.037 
205.00 	0.924 
204.00 	0.779 
203.00 	0.604 
202.00 	0.376 
201.00 	0.120 
200.00 	-0.152 
199.00 	-0.377 
198.00 	-0.506 
197.00 	-0.531 
196.00 	-0.513 
195.00 	-0.382 
194.00 	-0.300 
193.00 	-0.167 
192.00 	-0.033 
191.00 	0.105 
190.00 	0.267 
