nm    	Abs   
300.00 	0.266 
299.00 	0.266 
298.00 	0.266 
297.00 	0.266 
296.00 	0.267 
295.00 	0.267 
294.00 	0.268 
293.00 	0.268 
292.00 	0.269 
291.00 	0.269 
290.00 	0.270 
289.00 	0.271 
288.00 	0.272 
287.00 	0.274 
286.00 	0.275 
285.00 	0.276 
284.00 	0.277 
283.00 	0.278 
282.00 	0.279 
281.00 	0.282 
280.00 	0.284 
279.00 	0.286 
278.00 	0.287 
277.00 	0.288 
276.00 	0.289 
275.00 	0.291 
274.00 	0.293 
273.00 	0.295 
272.00 	0.297 
271.00 	0.299 
270.00 	0.300 
269.00 	0.302 
268.00 	0.305 
267.00 	0.307 
266.00 	0.310 
265.00 	0.312 
264.00 	0.314 
263.00 	0.317 
262.00 	0.320 
261.00 	0.323 
260.00 	0.327 
259.00 	0.331 
258.00 	0.334 
257.00 	0.338 
256.00 	0.341 
255.00 	0.345 
254.00 	0.348 
253.00 	0.352 
252.00 	0.355 
251.00 	0.359 
250.00 	0.361 
249.00 	0.363 
248.00 	0.366 
247.00 	0.368 
246.00 	0.370 
245.00 	0.372 
244.00 	0.374 
243.00 	0.374 
242.00 	0.377 
241.00 	0.377 
240.00 	0.379 
239.00 	0.379 
238.00 	0.381 
237.00 	0.381 
236.00 	0.382 
235.00 	0.382 
234.00 	0.382 
233.00 	0.382 
232.00 	0.379 
231.00 	0.374 
230.00 	0.368 
229.00 	0.360 
228.00 	0.350 
227.00 	0.341 
226.00 	0.331 
225.00 	0.321 
224.00 	0.309 
223.00 	0.298 
222.00 	0.286 
221.00 	0.275 
220.00 	0.262 
219.00 	0.251 
218.00 	0.237 
217.00 	0.221 
216.00 	0.205 
215.00 	0.187 
214.00 	0.170 
213.00 	0.147 
212.00 	0.122 
211.00 	0.086 
210.00 	0.046 
209.00 	-0.005 
208.00 	-0.067 
207.00 	-0.146 
206.00 	-0.243 
205.00 	-0.365 
204.00 	-0.511 
203.00 	-0.695 
202.00 	-0.925 
201.00 	-1.187 
200.00 	-1.466 
199.00 	-1.695 
198.00 	-1.824 
197.00 	-1.840 
196.00 	-1.811 
195.00 	-1.686 
194.00 	-1.576 
193.00 	-1.433 
192.00 	-1.281 
191.00 	-1.103 
190.00 	-0.896 
